UNIQUE_ID,Watershed,DESCRIPTOR,Waterbody,MLTYP_NAME,Lat,Long,Datayear_mean,Datayear_n,Datayear_sd,Datayear_median,Datayear_max,Datayear_min,NO3,NO3_n,NO3_sd,NO3_median,NO3_max,NO3_min,TN,TN_n,TN_sd,TN_median,TN_max,TN_min
W0110,Ipswich,"[Peabody Street, Middleton]",Ipswich River,River/Stream,42.61647019,-70.99700565,2005,4,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.6125,4,0.12446552400832397,0.6125,0.79,0.5
W0112,Ipswich,"[Central Street, North Reading]",Ipswich River,River/Stream,42.57229149,-71.08984084,2005,4,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.6225,4,0.06701989754294366,0.6225,0.69,0.56
W0121,Ipswich,"[driveway of #187 County Road, (across from intersection with Lakeman Lane), Ipswich]",Miles River,River/Stream,42.66124707,-70.8449088,2005,4,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.7075,4,0.14930394055974097,0.7075,0.87,0.52
W0136,Ipswich,"[Park Street, North Reading]",Martins Brook,River/Stream,42.57158947,-71.10125577,2005,4,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.75,4,0.17795130420052185,0.75,1,0.6
W0139,Ipswich,"[Concord Street, Wilmington]",Lubbers Brook,River/Stream,42.55888279,-71.14669759,2005,4,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.5775,4,0.0994568583189046,0.5775,0.72,0.5
W0143,Ipswich,"[Federal Street, Wilmington]",Maple Meadow Brook,River/Stream,42.55191092,-71.15006628,2005,4,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.6525,4,0.13720422734012241,0.6525,0.83,0.51
W0168,Ten Mile,"[Fuller Street (downstream of Fuller Pond) , Plainville]",Ten Mile River,River/Stream,42.01272012,-71.34763073,2007,10,0,2007,2007,2007,0.454,5,0.12660963628413124,0.454,0.6,0.29,0.632,5,0.1103177229641729,0.632,0.76,0.46
W0169,Ten Mile,"[Route 1, North Attleborough]",Ten Mile River,River/Stream,41.97463265,-71.32957594,2007,10,0,2007,2007,2007,0.444,5,0.2608256122392891,0.444,0.84,0.13,0.754,5,0.18582249594707312,0.754,1,0.49
W0170,Ten Mile,"[Cedar Road, North Attleborough  (approximately 850 feet upstream of North Attleborough WWTP discharge, NPDES # MA0101036)]",Ten Mile River,River/Stream,41.96096078,-71.30757184,2007,10,0,2007,2007,2007,0.712,5,0.4176960617482526,0.712,1.3,0.24,0.95,5,0.31921779399024736,0.95,1.4,0.59
W0172,Ten Mile,"[Olive Street, Attleboro]",Ten Mile River,River/Stream,41.93742221,-71.29026644,2007,10,0,2007,2007,2007,1.492,5,1.2041262392290935,1.492,3.5,0.52,2,5,1.298075498574717,2,4.2,1
W0173,Ten Mile,"[Tiffany Street ,  Attleboro]",Ten Mile River,River/Stream,41.91782609,-71.30583763,2007,10,0,2007,2007,2007,1.314,5,0.8565512243876604,1.314,2.7,0.56,1.9,5,0.8717797887081346,1.9,3.3,1.1
W0175,Ten Mile,"[Pond Street, Seekonk]",Ten Mile River,River/Stream,41.89609284,-71.32576502,2007,10,0,2007,2007,2007,1.12,5,0.6141661013113635,1.12,2.1,0.58,1.6600000000000001,5,0.618869937870632,1.6600000000000001,2.6,1.1
W0176,Ten Mile,"[Central Avenue, Seekonk Massachusetts/Pawtucket, Rhode Island  (approximately 1/2 mile downstream of Attleboro WWTP discharge, NPDES # MA0100595)]",Ten Mile River,River/Stream,41.89026914,-71.34011441,2007,4,0,2007,2007,2007,0.53,2,0.07071067811865474,0.53,0.58,0.48,1.75,2,0.9192388155425116,1.75,2.4,1.1
W0179,Ten Mile,"[Holden Street, Attleboro]",Bungay River,River/Stream,41.95360395,-71.28005181,2007,10,0,2007,2007,2007,0.296,5,0.16786899654194637,0.296,0.48,0.13,0.65,5,0.15937377450509227,0.65,0.8,0.44
W0180,Ten Mile,"[Route 152, Attleboro]",Speedway Brook,River/Stream,41.92726089,-71.2852236,2007,8,0,2007,2007,2007,0.6575,4,0.5198958228978827,0.6575,1.4,0.26,1.24,4,0.2524546163834865,1.24,1.5,0.96
W0181,Ten Mile,"[West Street, Attleboro]",Fourmile Brook,River/Stream,41.93648287,-71.32433494,2007,10,0,2007,2007,2007,0.124,5,0.060249481325568274,0.124,0.17,0.04,0.392,5,0.047116875957558986,0.392,0.45,0.32
W0182,Ten Mile,"[Draper Avenue, North Attleborough]",Sevenmile River,River/Stream,41.95117817,-71.34184089,2007,10,0,2007,2007,2007,0.64,5,0.4583121207212395,0.64,1.3,0.2,0.84,5,0.3437295448459443,0.84,1.3,0.51
W0183,Ten Mile,"[County Street, Attleboro]",Sevenmile River,River/Stream,41.90125767,-71.3434294,2007,10,0,2007,2007,2007,0.6980000000000001,5,0.36437617924337484,0.6980000000000001,1.1,0.31,0.972,5,0.27003703449712224,0.972,1.2,0.66
W0184,Ten Mile,"[Route 152, Seekonk]",Coles Brook,River/Stream,41.85773302,-71.32945548,2007,6,0,2007,2007,2007,0.20666666666666667,3,0.07505553499465135,0.20666666666666667,0.28,0.13,0.8266666666666667,3,0.265392790658174,0.8266666666666667,1.1,0.57
W0206,Farmington,"[Route 57 bridge, Sandisfield]",Clam River,River/Stream,42.09474599,-73.08665689,2006,2,0,2006,2006,2006,NA,0,NA,NA,-Inf,Inf,0.51,2,0.21213203435596428,0.51,0.66,0.36
W0210,Farmington,"[Reservoir Road bridge, Otis]",Fall River,River/Stream,42.15892543,-73.06950719,2006,2,0,2006,2006,2006,NA,0,NA,NA,-Inf,Inf,0.27,2,0.11313708498984758,0.27,0.35,0.19
W0257,Westfield,"[Lovers Lane bridge, Becket]",Shaker Mill Brook,River/Stream,42.33094293,-73.09171257,2006,4,0,2006,2006,2006,NA,0,NA,NA,-Inf,Inf,0.1725,4,0.04349329450233296,0.1725,0.23,0.13
W0293,Millers,"[approximately 160 feet downstream of Kentfield Road (Kempfield Road), Wendell]",Whetstone Brook,River/Stream,42.58708857,-72.35718789,2014.3333333333333,27,1.5689290811054724,2014.3333333333333,2017,2011,0.029461538461538463,13,0.00959700808078039,0.029461538461538463,0.04,0.02,0.17142857142857143,14,0.05627639795716289,0.17142857142857143,0.28,0.09
W0311,Taunton,"[Pine Street, Norton]",Rumford River,River/Stream,41.96604487,-71.175902,2006,4,0,2006,2006,2006,NA,0,NA,NA,-Inf,Inf,0.535,4,0.06806859285554047,0.535,0.63,0.47
W0317,Taunton,"[Route 44 bridge, Middleborough   (approximately 1000 feet upstream of Middleborough WWTP discharge, NPDES # MA0101591)]",Nemasket River,River/Stream,41.9074391,-70.91495236,2019,10,0,2019,2019,2019,0.1348,5,0.07012631460443362,0.1348,0.2,0.049,0.42,5,0.043011626335213125,0.42,0.48,0.38
W0318,Taunton,"[Plymouth Street bridge, Middleborough (approximately 1.5 miles downstream of Middleborough WWTP discharge, NPDES # MA0101591)]",Nemasket River,River/Stream,41.92174924,-70.92351752,2019,8,0,2019,2019,2019,0.18625,4,0.09724325169388362,0.18625,0.29,0.055,0.5275,4,0.055602757725374256,0.5275,0.61,0.49
W0324,Concord (SuAsCo),"[unnamed tributary to Assabet River, downstream of Warners Pond, Commonwealth Avenue bridge, Concord]",Unnamed Tributary,River/Stream,42.45888846,-71.3973783,2006,4,0,2006,2006,2006,0.265,2,0.007071067811865481,0.265,0.27,0.26,0.78,2,0.09899494936611666,0.78,0.85,0.71
W0333,South Coastal,"[Eel River tributary, outlet Howland Pond, Clifford Road bridge, Plymouth]",Unnamed Tributary,River/Stream,41.92602695,-70.61353249,2006,5,0,2006,2006,2006,NA,0,NA,NA,-Inf,Inf,0.17200000000000001,5,0.036331804249169895,0.17200000000000001,0.22,0.14
W0337,South Coastal,"[upstream side of Route 139 bridge, Marshfield]",Green Harbor River,River/Stream,42.08647762,-70.65128516,2006,3,0,2006,2006,2006,NA,0,NA,NA,-Inf,Inf,0.7933333333333333,3,1.0557146078999444,0.7933333333333333,2,0.04
W0338,South Coastal,"[upstream of Russell Millpond at outlet of cranberry bog east of Long Pond Road, Plymouth]",Eel River,River/Stream,41.91104346,-70.64385015,2006,1,NA,2006,2006,2006,NA,0,NA,NA,-Inf,Inf,0.42,1,NA,0.42,0.42,0.42
W0339,South Coastal,"[Russell Mills Road, Plymouth]",Eel River,River/Stream,41.91774475,-70.6264616,2006,5,0,2006,2006,2006,NA,0,NA,NA,-Inf,Inf,0.356,5,0.21984085152673513,0.356,0.72,0.15
W0344,Buzzards Bay,"[approximately 980 feet downstream of Route 177, Westport]",Bread And Cheese Brook,River/Stream,41.63266048,-71.06038287,2014.4,30,1.1017227888394956,2014.4,2016,2013,0.97,14,0.44922154890432403,0.97,1.8,0.21,1.55875,16,0.4684282228901243,1.55875,2.4,0.75
W0347,Farmington,"[deep hole, Otis]",Benton Pond,Lake,42.18359566,-73.04390073,2016,4,0,2016,2016,2016,NA,0,NA,NA,-Inf,Inf,0.3575,4,0.32190837205639744,0.3575,0.84,0.18
W0351,Farmington,"[unnamed tributary to West Branch Farmington River, West Center Road bridge, Otis (downstream Otis Ridge Ski Area)]",Unnamed Tributary,River/Stream,42.19714978,-73.09707925,2006,2,0,2006,2006,2006,NA,0,NA,NA,-Inf,Inf,0.365,2,0.07778174593052022,0.365,0.42,0.31
W0357,Shawsheen,"[Terrace Hall Avenue, Burlington]",Vine Brook,River/Stream,42.49645261,-71.2242658,2005,4,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.64,4,0.36814852075396604,0.64,1.1,0.3
W0371,Housatonic,"[Route 7A bridge, Sheffield, (locality of Ashley Falls).]",Konkapot River,River/Stream,42.05490025,-73.33400325,2007,5,0,2007,2007,2007,NA,0,NA,NA,-Inf,Inf,0.586,5,0.09071934744033379,0.586,0.72,0.49
W0375,Housatonic,"[upstream/east at Konkapot Road bridge, New Marlborough.]",Konkapot River,River/Stream,42.07601465,-73.28282617,2007,5,0,2007,2007,2007,NA,0,NA,NA,-Inf,Inf,0.232,5,0.06534523701081818,0.232,0.32,0.17
W0384,Charles,"[footbridge above Watertown Dam, Watertown.]",Charles River,River/Stream,42.36514506,-71.1903328,2007,2,0,2007,2007,2007,0.45,1,NA,0.45,0.45,0.45,1,1,NA,1,1,1
W0406,Charles,"[Summer Street, Westwood.]",Rock Meadow Brook,River/Stream,42.24980728,-71.22270212,2007,10,0,2007,2007,2007,0.18,5,0.11247221879201992,0.18,0.35,0.05,0.488,5,0.05263078946776309,0.488,0.54,0.41
W0407,Charles,"[Wilsondale Street, Dover (below impoundment).]",Powissett Brook,River/Stream,42.25123356,-71.23970713,2007,10,0,2007,2007,2007,0.068,5,0.04764451699828638,0.068,0.12,0.02,0.54,5,0.16416455159382004,0.54,0.77,0.34
W0409,Charles,"[Dover Road, Wellesley]",Fuller Brook,River/Stream,42.28652324,-71.29384261,2007,10,0,2007,2007,2007,1.1,5,0.12247448713915893,1.1,1.3,1,1.5,5,0.18708286933869706,1.5,1.7,1.3
W0414,Charles,"[Walker Street, Medway (near USGS flow gaging station #01103280)  (upstream of Charles River Pollution Control District (MA0102598) discharge)]",Charles River,River/Stream,42.14007115,-71.3896734,2007,10,0,2007,2007,2007,1.78,5,0.825832912882503,1.78,2.9,1,2.38,5,0.8983317872590282,2.38,3.4,1.5
W0423,Charles,"[at Orchard Street below Bogastow Pond in the northern most outlet, Millis.]",Bogastow Brook,River/Stream,42.18829134,-71.36280624,2007,8,0,2007,2007,2007,0.2,4,0.13063945294843615,0.2,0.36,0.04,0.785,4,0.15716233645501712,0.785,0.98,0.6
W0426,Hoosic,"[approximately 50 feet upstream of Lime Street bridge, Adams.  (downstream of gated storm valve)  (approximately 2050 feet upstream of Adams WWTP (MA0100315) discharge )]",Hoosic River,River/Stream,42.63945736,-73.10863082,2007,2,0,2007,2007,2007,NA,0,NA,NA,-Inf,Inf,1.78,2,1.7253405460951758,1.78,3,0.56
W0427,Hoosic,"[upstream at Hodges Cross Road bridge, North Adams.]",Hoosic River,River/Stream,42.66508241,-73.10397409,2007,5,0,2007,2007,2007,NA,0,NA,NA,-Inf,Inf,1.186,5,0.4283456548162944,1.186,1.8,0.63
W0435,North Coastal,"[south of Hawkes Pond, Spring Street, Saugus]",Hawkes Brook,River/Stream,42.49577249,-71.01907398,2007,5,0,2007,2007,2007,NA,0,NA,NA,-Inf,Inf,1.3800000000000001,5,0.2774887385102321,1.3800000000000001,1.7,1.1
W0436,North Coastal,"[north of Hawkes Pond,  Salem Street, Lynnfield]",Hawkes Brook,River/Stream,42.51244839,-71.02729939,2007,2,0,2007,2007,2007,NA,0,NA,NA,-Inf,Inf,1.95,2,0.6363961030678927,1.95,2.4,1.5
W0437,North Coastal,"[Farm Street (south off of Route 129), Wakefield]",Mill River,River/Stream,42.49963725,-71.0509709,2007,5,0,2007,2007,2007,NA,0,NA,NA,-Inf,Inf,1.226,5,0.2690353136671838,1.226,1.6,0.93
W0448,North Coastal,"[downstream at Chestnut Street, Lynnfield]",Beaverdam Brook,River/Stream,42.53696863,-71.05650757,2007,4,0,2007,2007,2007,NA,0,NA,NA,-Inf,Inf,1.75,4,0.2645751311064591,1.75,2,1.4
W0451,North Coastal,"[Pine Street, Danvers]",Crane Brook,River/Stream,42.55986066,-70.94856366,2007,5,0,2007,2007,2007,NA,0,NA,NA,-Inf,Inf,1.46,5,0.16733200530681516,1.46,1.6,1.2
W0452,North Coastal,"[Ash Street, Danvers]",Crane River,River/Stream,42.55761002,-70.9378767,2007,4,0,2007,2007,2007,NA,0,NA,NA,-Inf,Inf,1.175,4,0.09574271077563379,1.175,1.3,1.1
W0453,North Coastal,"[Howley Street, Peabody]",Proctor Brook,River/Stream,42.52452276,-70.9185959,2007,5,0,2007,2007,2007,NA,0,NA,NA,-Inf,Inf,1.3,5,0.2,1.3,1.6,1.1
W0454,North Coastal,"[Foster Street, Peabody]",Goldthwait Brook,River/Stream,42.5222057,-70.931093,2007,5,0,2007,2007,2007,NA,0,NA,NA,-Inf,Inf,0.812,5,0.22917242417009953,0.812,1.1,0.58
W0474,Westfield,"[Route 147 bridge, Agawam/West Springfield]",Westfield River,River/Stream,42.09002807,-72.62686454,2006,4,0,2006,2006,2006,NA,0,NA,NA,-Inf,Inf,0.5925,4,0.08732124598286492,0.5925,0.67,0.49
W0475,Chicopee,"[Route 116 bridge, Chicopee.]",Chicopee River,River/Stream,42.15037455,-72.60763627,2008,6,0,2008,2008,2008,0.18,1,NA,0.18,0.18,0.18,0.54,5,0.05744562646538028,0.54,0.61,0.45
W0480,Nashua,"[Airport Road (Falulah Road on USGS 1988 Fitchburg quadrangle), Fitchburg.  (approximately 2.2 miles upstream of East Fitchburg WWTF (MA0100986) discharge)]",North Nashua River,River/Stream,42.5630966,-71.76875735,2008,10,0,2008,2008,2008,0.296,5,0.1505988047761336,0.296,0.5,0.15,0.984,5,0.5336009745118537,0.984,1.9,0.55
W0482,Nashua,"[east of Route 110, Clinton  (upstream of Clinton WWTP outfall)]",Nashua River,River/Stream,42.42997432,-71.67930013,2008,2,0,2008,2008,2008,0.1,1,NA,0.1,0.1,0.1,0.32,1,NA,0.32,0.32,0.32
W0483,Nashua,"[Bolton Road, Lancaster (upstream of sporadic input on eastern shore just upstream of road)]",Nashua River,River/Stream,42.44442786,-71.67186298,2011.9333333333334,30,0.784915252764901,2011.9333333333334,2013,2011,1.184,15,1.1635278865833611,1.184,4.7,0.38,1.45,15,1.1542158748320375,1.45,4.6,0.53
W0484,Nashua,"[near tank bridge at Still River Depot Road canoe launch, Harvard.]",Nashua River,River/Stream,42.49602094,-71.62643687,2008,10,0,2008,2008,2008,1.132,5,0.411242021199196,1.132,1.7,0.56,1.632,5,0.5925537950262406,1.632,2.5,0.96
W0485,Nashua,"[approximately 1/2 mile downstream/east from covered bridge at Groton Street near abandoned railroad trestle supports, Pepperell]",Nashua River,River/Stream,42.66968673,-71.56776529,2008.8333333333333,96,2.5242681760386323,2008.8333333333333,2013,2005,0.69875,48,0.2876657708951151,0.69875,1.6,0.31,1.0645833333333334,48,0.3252426808068703,1.0645833333333334,2.1,0.69
W0486,Nashua,"[Mill Street, Pepperell]",Nissitissit River,River/Stream,42.67172981,-71.57703129,2008,5,0,2008,2008,2008,NA,0,NA,NA,-Inf,Inf,0.354,5,0.058137767414994525,0.354,0.42,0.3
W0487,Nashua,"[west of Townsend Road (directly across from Candice Lane), Groton]",Squannacook River,River/Stream,42.62094186,-71.64380951,2008.9333333333334,90,2.5209236759123197,2008.9333333333334,2013,2005,0.306,45,0.11396570457019874,0.306,0.5,0.12,0.5493333333333333,45,0.13301401156542597,0.5493333333333333,1.1,0.34
W0488,Nashua,"[Route 2A, Shirley/Ayer]",Nashua River,River/Stream,42.57812405,-71.60976926,2008,10,0,2008,2008,2008,0.778,5,0.24873680869545625,0.778,1,0.39,1.192,5,0.28865203966021097,1.192,1.5,0.76
W0490,Chicopee,"[Cooney Road at USGS flow gaging station #01175670, Spencer]",Sevenmile River,River/Stream,42.26477944,-72.00491606,2008.6222222222223,90,2.438353551056545,2008.6222222222223,2013,2005,0.10466666666666667,45,0.06923609148151247,0.10466666666666667,0.32,0.02,0.34933333333333333,45,0.10656624060350274,0.34933333333333333,0.67,0.23
W0491,Chicopee,"[east of Route 67, (near USGS flow gaging station #01176000), Palmer/Brimfield]",Quaboag River,River/Stream,42.18142994,-72.26354268,2008.6521739130435,92,2.419857332134153,2008.6521739130435,2013,2005,0.1476086956521739,46,0.1069409968702097,0.1476086956521739,0.42,0.02,0.49,46,0.11648557373721816,0.49,0.82,0.11
W0493,Chicopee,"[at USGS flow gaging station #01175500 west of River Road, Ware/Belchertown]",Swift River,River/Stream,42.26797538,-72.33276108,2008.5555555555557,90,2.356492876427634,2008.5555555555557,2013,2005,0.02288888888888889,45,0.009913769630308558,0.02288888888888889,0.07,0.02,0.13464444444444446,45,0.023235117969803962,0.13464444444444446,0.21,0.081
W0494,Chicopee,"[south of Route 122 at weir downstream of Shaft #8 water supply intake, Barre]",Ware River,River/Stream,42.39121389,-72.0645552,2008.6521739130435,92,2.419857332134153,2008.6521739130435,2013,2005,0.03804347826086957,46,0.03030361659511883,0.03804347826086957,0.17,0.02,0.3467391304347826,46,0.11238929066866127,0.3467391304347826,0.77,0.15
W0496,Nashua,"[Route 111/119, Pepperell/Groton]",Nashua River,River/Stream,42.62647657,-71.59314962,2008.8131868131868,91,2.5382062253668125,2008.8131868131868,2013,2005,0.8595652173913043,46,0.6411654545408839,0.8595652173913043,4.3,0.14,1.2333333333333334,45,0.695544260404626,1.2333333333333334,4.8,0.29
W0499,Blackstone,"[upstream at Park Avenue, Worcester]",Beaver Brook,River/Stream,42.25053773,-71.8309968,2008,5,0,2008,2008,2008,NA,0,NA,NA,-Inf,Inf,1.76,5,0.2190890230020665,1.76,2.1,1.5
W0502,Blackstone,"[Millbury Street, Worcester]",Middle River,River/Stream,42.2365576,-71.796679459999993,2008,10,0,2008,2008,2008,0.28200000000000003,5,0.11840608092492547,0.28200000000000003,0.4,0.14,0.69,5,0.08336666000266532,0.69,0.77,0.55
W0504,Blackstone,"[Route 12, Auburn]",Dark Brook,River/Stream,42.20578112,-71.83469065,2008,5,0,2008,2008,2008,NA,0,NA,NA,-Inf,Inf,0.782,5,0.11606032913963325,0.782,0.92,0.61
W0506,Blackstone,"[Sutton Street bridge, Northbridge]",Blackstone River,River/Stream,42.1542015,-71.65266243,2006,4,0,2006,2006,2006,2.7,2,0.1414213562373093,2.7,2.8,2.6,4.05,2,0.3535533905932738,4.05,4.3,3.8
W0508,Blackstone,"[Summer Street, Blackstone]",Mill River,River/Stream,42.04075372,-71.51568945,2008,5,0,2008,2008,2008,NA,0,NA,NA,-Inf,Inf,1.252,5,0.40561065074773367,1.252,1.8,0.66
W0514,Blackstone,"[Mendon Street, Upton]",Center Brook,River/Stream,42.16003238,-71.60586969,2008,5,0,2008,2008,2008,NA,0,NA,NA,-Inf,Inf,0.692,5,0.15352524222420236,0.692,0.91,0.48
W0515,Blackstone,"[Hartford Avenue East, Uxbridge]",West River,River/Stream,42.1003609,-71.60111703,2008.5647058823529,85,2.427261139361701,2008.5647058823529,2013,2005,0.24767441860465117,43,0.18265029309614128,0.24767441860465117,1.1,0.02,0.6142857142857143,42,0.2726307505260626,0.6142857142857143,2.2,0.31
W0544,Neponset,"[upstream of Washington Street, Norwood (above influence of pool discharge pipe on southern bank)]",Hawes Brook,River/Stream,42.17399161,-71.20853856,2009,5,0,2009,2009,2009,NA,0,NA,NA,-Inf,Inf,0.784,5,0.13202272531651513,0.784,0.97,0.6
W0551,Neponset,"[Cooney Street, Walpole]",Traphole Brook,River/Stream,42.15752806,-71.20894828,2009,5,0,2009,2009,2009,NA,0,NA,NA,-Inf,Inf,0.872,5,0.07429670248402684,0.872,0.97,0.77
W0557,Neponset,"[Upland Road, Sharon]",Beaver Brook,River/Stream,42.12604018,-71.18526016,2009,5,0,2009,2009,2009,NA,0,NA,NA,-Inf,Inf,0.812,5,0.4973630464761129,0.812,1.6,0.4
W0559,Neponset,"[Sherman Street, Canton]",Pequid Brook,River/Stream,42.15863426,-71.13993414,2009,5,0,2009,2009,2009,NA,0,NA,NA,-Inf,Inf,0.57,5,0.14916433890176298,0.57,0.76,0.37
W0566,Neponset,"[Elm Street, Canton]",Ponkapog Brook,River/Stream,42.20323377,-71.13501796,2009,5,0,2009,2009,2009,NA,0,NA,NA,-Inf,Inf,1.16,5,0.11401754250991379,1.16,1.3,1
W0568,Neponset,"[Green Lodge Street, Canton]",Neponset River,River/Stream,42.20923111,-71.14595217,2009,5,0,2009,2009,2009,NA,0,NA,NA,-Inf,Inf,0.87,5,0.09874208829065749,0.87,0.96,0.72
W0573,Neponset,"[Eliot Street crossing, (Milton Village) Milton]",Pine Tree Brook,River/Stream,42.26947952,-71.07281665,2009,4,0,2009,2009,2009,NA,0,NA,NA,-Inf,Inf,0.9025000000000001,4,0.16214705259938175,0.9025000000000001,1.1,0.76
W0579,Neponset,"[Rowe Street (just south of Adams Street), Milton]",Unquity Brook,River/Stream,42.25990378,-71.04753969,2009,3,0,2009,2009,2009,NA,0,NA,NA,-Inf,Inf,2.9,3,0.4358898943540675,2.9,3.2,2.4
W0600,Quinebaug,"[Route 197 bridge, Thompson, Connecticut]",Quinebaug River,River/Stream,42.02202663,-71.9543561,2008.7073170731708,82,2.45697698868239,2008.7073170731708,2013,2005,0.3282926829268293,41,0.1933248876764757,0.3282926829268293,0.93,0.08,0.6173170731707317,41,0.230434637047514,0.6173170731707317,1.3,0.32
W0601,Quinebaug,"[Holland Road bridge, Sturbridge]",Quinebaug River,River/Stream,42.10956147,-72.11856925,2008.6818181818182,88,2.470727262961552,2008.6818181818182,2013,2005,0.059772727272727276,44,0.0593565746975924,0.059772727272727276,0.22,0.02,0.3054545454545455,44,0.06237376257632786,0.3054545454545455,0.44,0.18
W0602,French,"[Oxford Avenue/Pleasant Street, Dudley/Webster  (near USGS flow gaging station #01125000)]",French River,River/Stream,42.05094532,-71.88507359,2010.7142857142858,42,1.2549553346577969,2010.7142857142858,2013,2009,0.25047619047619046,21,0.1294401865911893,0.25047619047619046,0.5,0.05,0.5519047619047619,21,0.11461322121025339,0.5519047619047619,0.78,0.4
W0603,Nashua,[Lancaster],Fort Pond,Lake,42.52346976,-71.6880925,2017,6,0,2017,2017,2017,0.05500000000000001,2,0.02121320343559643,0.05500000000000001,0.07,0.04,0.865,4,0.6112555384888821,0.865,1.7,0.33
W0604,Nashua,"[deep hole, Harvard]",Bare Hill Pond,Lake,42.49250849,-71.5969091,2016,6,0,2016,2016,2016,NA,0,NA,NA,-Inf,Inf,0.31333333333333335,6,0.053541261347363374,0.31333333333333335,0.4,0.26
W0615,Quinebaug,"[Route 169 bridge (near pipeline crossing), Charlton]",Cady Brook,River/Stream,42.11947322,-72.00870444,2008.7209302325582,86,2.4859660817841265,2008.7209302325582,2013,2005,1.8255813953488371,43,4.222295867419357,1.8255813953488371,27,0.18,2.2276744186046513,43,4.530012528737695,2.2276744186046513,29,0.29
W0622,Narragansett Bay (Shore),"[Providence Street, Rehoboth]",Clear Run Brook,River/Stream,41.81022138,-71.29169192,2009,5,0,2009,2009,2009,NA,0,NA,NA,-Inf,Inf,0.904,5,0.27428087793355194,0.904,1.3,0.55
W0624,Narragansett Bay (Shore),"[Carpenter Street, Rehoboth]",West Branch (Palmer River),River/Stream,41.85489099,-71.255975,2009,5,0,2009,2009,2009,NA,0,NA,NA,-Inf,Inf,0.572,5,0.12872451204024818,0.572,0.72,0.37
W0637,Narragansett Bay (Shore),"[upstream of the unnamed tributary on eastern shore at Providence Street, Rehoboth]",Oak Swamp Brook,River/Stream,41.79498181,-71.25266188,2009,5,0,2009,2009,2009,NA,0,NA,NA,-Inf,Inf,1.26,5,0.2701851217221259,1.26,1.6,1
