Embayment,STN_EQUIV,NO3,TN,NO3_n,TN_n,YEAR_min,YEAR_max,EMBAYMENT,WQI_Area,Lat,Long,Town
Red Brook Pond,RBP1,0.022829563622727273,0.61493181225,22,22,2004,2009,Red Brook Pond,Red Brook Pond,41.677803,-70.608142,Bourne
Red Brook Pond,RBP2,0.0058941456,0.3539064648,2,2,2004,2015,Red Brook Pond,Red Brook Pond,41.676337,-70.610341,Bourne
Red Brook Pond,RBP3,0.0091101528,0.4267722795,1,1,2008,2008,Red Brook Pond,Red Brook Pond,41.677514,-70.61113,Bourne
Red Brook River,RBR1,0.7175008155666667,1.0819496155666668,63,63,2001,2022,Red Brook River,Red Brook River,41.764426,-70.63355,Plymouth/Wareham
Red Brook River,RBR2,0.296292293444,0.5789074171621622,75,74,2004,2022,Red Brook River,Red Brook River,41.766773,-70.635237,Plymouth/Wareham
Tub Mill Brook,TMB1,0.34819446938450704,1.07141654055,71,70,2002,2022,Tub Mill Brook,Tub Mill Brook,41.66576,-70.823947,Mattapoisett
White Island Pond,WIP1,0.0101055252375,1.1510355551625,8,8,2006,2008,White Island Pond,White Island Pond Top,41.816615,-70.617183,Plymouth
White Island Pond,WIP2,0.014000696850000001,0.9486316788,8,7,2006,2008,White Island Pond,White Island Pond Middle,41.808661,-70.61745,Plymouth
White Island Pond,WIP3,0.0066279373125,0.7090217337,8,8,2006,2008,White Island Pond,White Island Pond Lower,41.803762,-70.630846,Plymouth
Weweantic River,WW0,0.1888710642,0.9096873826481928,87,83,1998,2022,Weweantic River,Weweantic River Fresh,41.765299,-70.747559999999993,Wareham
