Region_MEP,NOx2TN,TN,Qmeas,Qdiff,NOx,Atten,Yr_Start,Yr_End,Year
Cape Cod > Chatham > Stillwater Pond,0.173497268,0.732,1079.0,9.823911029,0.127,52.0,2001,2002,2001.5
Cape Cod > Falmouth > Morse Pond,0.06048906,0.777,786.0,10.81424936,0.047,76.0,2006,2007,2006.5
Cape Cod > Fiddlers > Cedar Lake,0.350837989,0.895,2417.0,2.482416218,0.314,19.0,2005,2006,2005.5
Cape Cod > Fiddlers > Flax Pond,0.528,0.875,1626.0,1.2300123,0.462,-8.0,2005,2006,2005.5
Cape Cod > GBB > Backus Brook,0.117424242,0.528,7211.0,-4.326723062,0.062,67.0,2002,2003,2002.5
Cape Cod > GBB > Bournes Brook,0.621281465,0.874,3766.0,55.25756771,0.543,54.0,2002,2003,2002.5
Cape Cod > GBB > Coonamesset River,0.663924794,0.851,26593.0,66.78825255,0.565,51.0,2002,2003,2002.5
Cape Cod > Herring River > Stream 1,0.184331797,0.651,42111.0,-2.830614329,0.12,56.0,2005,2006,2005.5
Cape Cod > Herring River > Stream 2,0.244224422,0.606,20533.0,-13.34924268,0.148,54.0,2004,2005,2004.5
Cape Cod > JEHU/Waquoit Bay > Quashnet River,0.410462777,0.497,41529.0,12.48765923,0.204,39.0,2002,2003,2002.5
Cape Cod > Lewis Bay > Chase Brook,0.434782609,1.035,3255.0,-28.69431644,0.45,36.0,2003,2004,2003.5
Cape Cod > Lewis Bay > Halls Creek,0.629080119,1.348,1185.0,25.3164557,0.848,68.0,2003,2004,2003.5
Cape Cod > Lewis Bay > Hosptial Bog,0.550985433,1.167,1318.0,-14.56752656,0.643,43.0,2003,2004,2003.5
Cape Cod > Lewis Bay > Mill Pond,0.6,1.01,15655.0,0.281060364,0.606,8.0,2003,2004,2003.5
Cape Cod > Lewis Bay > Snow's Creek,0.600315956,1.899,5298.0,19.64892412,1.14,53.0,2003,2004,2003.5
Cape Cod > Lewis Bay > Stewart's Creek,0.562741313,2.072,13966.0,-30.45968781,1.166,29.0,2003,2004,2003.5
Cape Cod > Little Pond > Stream,0.633868809,2.988,2006.0,12.21335992,1.894,41.0,2002,2003,2002.5
Cape Cod > Magansett > Cuffs Pond,0.502242152,0.669,3302.0,5.784373107,0.336,40.6,2005,2006,2005.5
Cape Cod > Namskaket > Cedar Pond,0.134883721,0.86,1271.0,-16.83713611,0.116,58.0,2002,2003,2002.5
Cape Cod > Namskaket > Hurley Bog,0.420549582,0.837,4050.0,11.08641975,0.352,24.0,2002,2004,2003.0
Cape Cod > Namskaket > Stream (Little),0.533070089,1.013,203.0,38.91625616,0.54,49.0,2002,2003,2002.5
Cape Cod > Nauset > Mary Chase Marsh Creek,0.490196078,0.306,1871.0,-4.275788348,0.15,34.0,2003,2004,2003.5
Cape Cod > Oyster Pond > Mosquito/Quivett Creek,0.162436548,1.182,97.0,4.12371134,0.192,57.0,2002,2003,2002.5
Cape Cod > Parkers River > Forest Brook,0.364864865,1.258,823.0,-0.243013366,0.459,36.0,2003,2004,2003.5
Cape Cod > Parkers River > Plashes Brook,0.426501035,0.966,3107.0,0.064370776,0.412,43.0,2004,2005,2004.5
Cape Cod > Phinneys > Back River,0.514018692,0.749,1822.0,20.58177827,0.385,51.0,2002,2003,2002.5
Cape Cod > Pleasant Bay > Kescayo Gansett,0.238693467,0.796,981.0,8.664627931,0.19,24.0,2002,2003,2002.5
Cape Cod > Pleasant Bay > Paw Wah Pond,0.118046972,1.618,388.0,-30.15463918,0.191,12.0,2002,2003,2002.5
Cape Cod > Pleasant Bay > Ryder Cove,0.309048179,0.851,853.0,191.6764361,0.263,7.0,2000,2002,2001.0
Cape Cod > Pleasant Bay > Stillwater Pond,0.173497268,0.732,1079.0,9.823911029,0.127,52.0,2000,2002,2001.0
Cape Cod > Pleasant Bay > Tar Kiln,0.512372635,0.687,2763.0,-8.613825552,0.352,51.0,2004,2005,2004.5
Cape Cod > Plymouth Duxbury > Eel River,0.224299065,0.642,68983.0,0.076830523,0.144,60.0,2003,2004,2003.5
Cape Cod > Plymouth Duxbury > Jones River,0.496637848,1.041,102201.0,-0.963787047,0.517,22.0,2003,2004,2003.5
Cape Cod > Plymouth Duxbury > Town Brook,0.538404727,1.354,52939.0,-10.96167287,0.729,36.0,2003,2004,2003.5
Cape Cod > Popponesset > Mashpee River,0.536256324,0.593,26223.0,72.44403768,0.318,71.0,2002,2003,2002.5
Cape Cod > Popponesset > Santuit River,0.592905405,1.184,13164.0,52.63597691,0.702,51.0,2002,2003,2002.5
Cape Cod > Sandwich > Shawme Lake,0.074404762,0.336,21478.0,-10.36409349,0.025,17.0,2006,2007,2006.5
Cape Cod > Sandwich > Springhill Creek,0.234273319,0.461,4356.0,-9.595959596,0.108,37.0,2006,2007,2006.5
Cape Cod > Scorton > Long Creek,0.169117647,0.68,6689.0,0.6727463,0.115,51.0,2006,2007,2006.5
Cape Cod > Scorton > Scorton Creek,0.255183413,0.627,4392.0,-5.16848816,0.16,47.0,2006,2007,2006.5
Cape Cod > Swan Pond > Un-Named Creek,0.343307087,0.635,453.0,-15.67328918,0.218,13.0,2005,2006,2005.5
Cape Cod > Three Bays > Little River,0.561915888,0.856,3483.0,20.90152168,0.481,51.0,2002,2003,2002.5
Cape Cod > Three Bays > Marstons Mill River,0.702726473,1.137,16091.0,-13.47958486,0.799,60.0,2002,2003,2002.5
Cape Cod > Waquoit Bay > Childs River,0.801937984,0.258,10372.0,10.79830312,0.2069,29.0,2006,2007,2006.5
Cape Cod > Wellfleet > Fresh Brook,0.397504456,0.561,2344.0,8.61774744,0.223,8.0,2004,2005,2004.5
Cape Cod > Wellfleet > Hatches Creek,1.0,1.92,743.0,12.51682369,1.92,0.0,2004,2005,2004.5
Cape Cod > Wellfleet > Herring River,0.075848303,1.002,28323.0,5.101860679,0.076,0.0,2003,2005,2004.0
Cape Cod > WestFalmouth > Mashapaquit Creek,0.597859327,0.654,1681.0,11.65972635,0.391,48.0,2002,2003,2002.5
Cape Cod > Wild Harbor > Wild Harbor River,0.420499343,0.761,1979.0,0.252652855,0.32,45.0,2006,2007,2006.5
Islands > Chillmark > Fulling Mill Brook East,0.1211226,0.677,470.0,4.680851064,0.082,0.0,2004,2005,2004.5
Islands > Chillmark > Fulling Mill Brook West,0.189732143,0.448,4816.0,1.515780731,0.085,21.0,2004,2005,2004.5
Islands > Chillmark > Mill Brook,0.162587413,0.572,5233.0,-4.777374355,0.093,41.0,2004,2005,2004.5
Islands > Lagoon > Fish Ladder,0.205228758,0.765,6464.0,0.804455446,0.157,18.0,2003,2004,2003.5
Islands > Menemsha > Black Brook,0.020376176,0.638,1363.0,3.888481291,0.013,0.0,2006,2007,2006.5
Islands > Menemsha > Pease Point Brook,0.113868613,0.685,1308.0,5.657492355,0.078,0.0,2006,2007,2006.5
Islands > Menemsha > Un-named Brook,0.357419355,0.775,534.0,3.93258427,0.277,64.0,2006,2007,2006.5
Islands > Tashmoo > Fish Ladder,0.154235145,0.791,873.0,19.01489118,0.122,10.0,2003,2004,2003.5
Islands > Tisbury > Mill Brook,0.097759674,0.491,17363.0,22.17358751,0.048,6.0,2004,2005,2004.5
Islands > Tisbury > Tiasquam River,0.104444444,0.45,12191.0,18.2511689,0.047,6.0,2004,2005,2004.5
