SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
4.21724E+14,"STORM-SEWER OUTFALL AT CRESCENT ST, NATICK, MA",ST,USGS,-71.3747818,42.29009616,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421724071223101
1098340,"COURSE BROOK AT NATICK, MA",ST,USGS,-71.3747817,42.27842965,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01098340
4.218E+14,"STORM-SEWER OUTFALL AT SUPERIOR DR, NATICK, MA",ST,USGS,-71.3728373,42.300096,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421800071222401
1113750,"ABBOTT RUN NEAR SOUTH ATTLEBORO, MA",ST,USGS,-71.3725559,41.92871056,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113750
4.21751E+14,"STORM-SEWER OUTFALL NR ROBINHOOD RD, NATICK, MA",ST,USGS,-71.3722818,42.29759608,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421751071222201
4.21738E+14,STORM-SEWER OUTFALL POSSUM HOLLOW LANE NATICK MA,ST,USGS,-71.37144838,42.293985,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421738071221901
4.21756E+14,"STORM-SEWER OUTFALL AT STATE ROUTE 9, NATICK, MA",ST,USGS,-71.3708928,42.29898497,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421756071221701
4.21724E+14,"LAKE COCHITUATE - SOUTH BASIN AT DEEP HOLE, MA",LK,USGS,-71.36922607,42.2900962,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421724071221101
4.2175E+14,LAKE COCHITUATE(S PD) NR NCW77 1.5MI NW NATICK CTR,LK,USGS,-71.368115,42.29731835,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421750071220701
1098350,"FISK POND OUTLET AT NATICK, MA",ST,USGS,-71.3681149,42.28342965,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01098350
4.21735E+14,"STORM-SEWER OUTFALL NR LAKEWOOD RD, NATICK, MA",ST,USGS,-71.3681149,42.2931517,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421735071220701
4.21725E+14,LAKE COCHITUATE(S PD) NR NCW67 1.1MI NW NATICK CTR,LK,USGS,-71.3664482,42.290374,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421725071220101
1103300,"MILL RIVER NEAR NORFOLK, MA",ST,USGS,-71.36589108,42.1225978,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103300
1103290,"SAFE MEADOW BROOK NEAR WRENTHAM, MA",ST,USGS,-71.363668,42.0548206,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103290
1103305,"CHARLES RIVER NEAR MILLIS, MA",ST,USGS,-71.36228,42.1331533,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103305
1103303,"CRESS BROOK NEAR NORFOLK, MA",ST,USGS,-71.3606131,42.12509785,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103303
1098380,"NATICK LABS POND AT OUTLET, NATICK, MA",ST,USGS,-71.35867019,42.29092965,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01098380
1098361,"SETTLING BASIN POND AT OUTLET, NATICK, MA",ST,USGS,-71.3578368,42.28537418,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01098361
1098379,STORM-SEWER OUTFALL INTO NATICK LABS P NATICK MA,ST,USGS,-71.3578368,42.29204076,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01098379
1098360,"PEGAN BROOK AT NATICK, MA",ST,USGS,-71.3572812,42.28537419,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01098360
1098378,STORM-SEWER OUTFALL AT NATICK LAB APTS NATICK MA,ST,USGS,-71.3564479,42.29092968,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01098378
1103415,"INDIAN BROOK NEAR SHERBORN, MA",ST,USGS,-71.3564477,42.2595412,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103415
4.20822E+14,CHARLES RIVER RM 50.5168,ST,USGS,-71.3545472,42.1395361,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420822071211601
1103400,"CHARLES RIVER NEAR MEDFIELD, MA",ST,USGS,-71.35200268,42.21009726,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103400
4.2084E+14,CHARLES RIVER RM 50.0141,ST,USGS,-71.3510167,42.14445,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420840071210301
1116630,"PROVIDENCE R OFF CONIMICUT POINT NR WARWICK, RI",ES,USGS,-71.3494971,41.7223235,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01116630
1117160,"EAST PASSAGE NARRAGANSETT BAY NEAR JAMESTOWN, RI",ES,USGS,-71.349497,41.51260207,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01117160
1109400,"TEN MILE RIVER NEAR EAST PROVIDENCE, RI",ST,USGS,-71.3453313,41.82787827,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109400
1103355,"CHARLES RIVER TRIBUTARY NO 2 AT MILLIS, MA",ST,USGS,-71.34505769,42.1806531,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103355
4.20846E+14,CHARLES RIVER RM 49.5018,ST,USGS,-71.3448333,42.14636667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420846071204101
4.15043E+14,"TURNER RESERVOIR (NORTH) AT RUMFORD, RI",LK,USGS,-71.3436648,41.8453781,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415043071203900
4.15022E+14,"TURNER RESERVOIR (SOUTH) AT RUMFORD, RI",LK,USGS,-71.34088677,41.83954485,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415022071202900
1109396,"TEN MILE RIVER, SITE 2, AT PAWTUCKET, RI",ST,USGS,-71.3406094,41.87398897,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109396
1109395,"TEN MILE RIVER AT PAWTUCKET, RI",ST,USGS,-71.34005407,41.8903777,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109395
4.21148E+14,CHARLES RIVER RM 42.8,ST,USGS,-71.33938889,42.19677778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421148071202101
4.20904E+14,CHARLES RIVER RM 49.0279,ST,USGS,-71.3388583,42.15111667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420904071201901
4.21126E+14,CHARLES RIVER RM 43.4753,ST,USGS,-71.33882778,42.1907333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421126071201901
1109280,"RUNNINS RIVER FALL RIVER AVE AT SEEKONK, MA",ST,USGS,-71.3356084,41.8164895,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109280
4.20924E+14,CHARLES RIVER RM 48.5221,ST,USGS,-71.3341,42.1567222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420924071200201
1109270,"RUNNINS RIVER AT SEEKONK, MA",ST,USGS,-71.3328306,41.8237117,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109270
4.20949E+14,CHARLES RIVER RM 47.4816,ST,USGS,-71.3326444,42.163725,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420949071195701
4.21004E+14,CHARLES RIVER RM 47.0535,ST,USGS,-71.3315556,42.16789444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421004071195301
4.20935E+14,CHARLES RIVER RM 48.0233,ST,USGS,-71.331075,42.15992778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420935071195101
4.21114E+14,CHARLES RIVER RM 44.1042,ST,USGS,-71.3306417,42.1874083,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421114071195001
4.21018E+14,CHARLES RIVER RM 46.522,ST,USGS,-71.3292472,42.1716861,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421018071194501
1109285,"RUNNINS RIVER NEAR SOUTH SEEKONK, MA",ST,USGS,-71.32921888,41.78843427,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109285
4.21807E+14,"JENNINGS POND AT NATICK, MA",LK,USGS,-71.32888889,42.30194444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421807071194401
4.21103E+14,CHARLES RIVER RM 44.5556,ST,USGS,-71.32655278,42.1842472,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421103071193501
4.21022E+14,CHARLES RIVER RM 46.0523,ST,USGS,-71.3239972,42.17285556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421022071192601
4.14358E+14,"BRICKYARD POND AT BARRINGTON, RI",LK,USGS,-71.321718,41.73287917,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=414358071192000
4.21048E+14,CHARLES RIVER RM 45.0397,ST,USGS,-71.32102778,42.1801222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421048071191501
1103320,"STOP RIVER TRIBUTARY AT NORFOLK, MA",ST,USGS,-71.3195007,42.1300981,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103320
4.2103E+14,CHARLES RIVER RM 45.5636,ST,USGS,-71.31910278,42.1751472,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421030071190801
1103340,"CHARLES RIVER AT MEDFIELD, MA",ST,USGS,-71.31894567,42.17593116,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103340
1103420,"CHARLES RIVER AT NATICK, MA",ST,USGS,-71.3153354,42.27148595,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103420
1103308,"STOP RIVER TRIBUTARY 3 NEAR WRENTHAM, MA",ST,USGS,-71.31450009,42.08954288,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103308
1108450,"WADING RIVER TRIBUTARY AT WRENTHAM, MA",ST,USGS,-71.3125552,42.05982086,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01108450
1103350,"VINE BROOK AT MEDFIELD, MA",ST,USGS,-71.30672319,42.1878756,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103350
1109382,"TEN MILE RIVER, TIFFANY RD, NEAR HEBRONVILLE, MA",ST,USGS,-71.30588639,41.9175998,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109382
1103330,"STOP RIVER NEAR MEDFIELD, MA",ST,USGS,-71.3045005,42.15093145,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103330
4.15534E+14,"DODGEVILLE POND,ATTLEBORO,MA",LK,USGS,-71.29,41.9261111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415534071172401
4.21413E+14,"DUTTON POND LEICESTER, MA",LK,USGS,-71.29,42.23694444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421413071172401
1103440,"FULLER BROOK AT WELLESLEY, MA",ST,USGS,-71.2878347,42.29593034,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103440
1109375,"BUNGAY RIVER 0.5 MI ABOVE MOUTH AT ATTLEBORO, MA",ST,USGS,-71.2875529,41.9498218,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109375
1109365,"BUNGAY RIVER (FISH HATCHERY) NORTH ATTLEBORO, MA",ST,USGS,-71.28616448,41.98426594,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109365
1109360,"BUNGAY RIVER AT MANSFIELD ST NEAR N. ATTLEBORO, MA",ST,USGS,-71.2833867,41.9912103,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109360
1109215,"PALMER RIVER NEAR REHOBOTH, MA",ST,USGS,-71.2814395,41.8306563,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109215
4.14832E+14,"SHAD FACTORY POND REHOBOTH,MA",LK,USGS,-71.2811111,41.80888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=414832071165201
1109369,"BUNGAY RIVER AT HOLDEN ST AT ATTLEBOROUGH, MA",ST,USGS,-71.279497,41.9537107,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109369
1104850,"MINE BROOK AT WALPOLE, MA",ST,USGS,-71.2639436,42.1539873,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104850
1103480,"NOANET BROOK NEAR DOVER, MA",ST,USGS,-71.2628336,42.25232015,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103480
1108500,"WADING RIVER AT WEST MANSFIELD, MA",ST,USGS,-71.2600527,42.0000992,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01108500
1104840,"NEPONSET RIVER AT WALPOLE, MA",ST,USGS,-71.2564432,42.14120967,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104840
1104800,"NEPONSET RIVER NEAR FOXBORO, MA",ST,USGS,-71.2564425,42.08565438,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104800
1109200,"WEST BRANCH PALMER RIVER NEAR REHOBOTH, MA",ST,USGS,-71.2544947,41.87954487,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109200
1104820,"NEPONSET RIVER NEAR SOUTH WALPOLE, MA",ST,USGS,-71.2522762,42.1245431,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104820
1109225,"ROCKY RUN NEAR REHOBOTH, MA",ST,USGS,-71.250326,41.7812125,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109225
1104910,"BUBBLING BROOK NORTH ST, NEAR WESTWOOD, MA",ST,USGS,-71.249777,42.20120945,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104910
1104860,"SPRING BROOK AT WALPOLE, MA",ST,USGS,-71.2492208,42.14648748,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104860
1104830,"SCHOOL MEADOW BROOK NEAR WALPOLE, MA",ST,USGS,-71.2458871,42.12565426,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104830
1109195,"EAST BRANCH PALMER RIVER AT REHOBOTH, MA",ST,USGS,-71.2419936,41.84260084,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109195
1109027,"ROBINSON BRK AT RT 140 AT FOXBORO, MA",ST,USGS,-71.2417194,42.05621016,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109027
1109026,"ROBINSON BROOK AT COCASSET STREET AT FOXBORO, MA",ST,USGS,-71.24060837,42.0637101,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109026
1108600,"HODGES BROOK AT WEST MANSFIELD, MA",ST,USGS,-71.2403295,41.9864883,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01108600
1104905,"MILL BROOK NEAR WESTWOOD, MA",ST,USGS,-71.2394988,42.18954289,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104905
1108790,"CHARTLEY BROOK NEAR ATTLEBORO, MA",ST,USGS,-71.2372727,41.92260008,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01108790
1104940,"WILLETT POND OUTLET NEAR NORWOOD, MA",ST,USGS,-71.2328318,42.18065408,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104940
1109030,"ROBINSON BROOK AT MANSFIELD, MA",ST,USGS,-71.2306076,42.03315477,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109030
1109150,"MOUNT HOPE BAY NEAR BRISTOL, RI",ES,USGS,-71.22865829,41.66260214,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109150
1108800,"CHARTLEY BROOK AT CHARTLEY, MA",ST,USGS,-71.226995,41.95009987,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01108800
1104960,"GERMANY BROOK NEAR NORWOOD, MA",ST,USGS,-71.2242205,42.184543,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104960
1103700,"ROCK MEADOW BROOK AT WESTWOOD, MA",ST,USGS,-71.22310999,42.2325983,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103700
4.13252E+14,"SAKONNET RIVER NEAR FOGLAND BEACH, RI",OC-CO,USGS,-71.2206806,41.54778889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=413252071131501
4.13642E+14,"SAKONNET RIVER NEAR GOULD ISLAND, RI",OC-CO,USGS,-71.21577778,41.61162778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=413642071125701
1109020,"RUMFORD RIVER AT EAST FOXBORO, MA",ST,USGS,-71.2153297,42.06343249,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109020
1104890,"NEPONSET RIVER AT EAST WALPOLE, MA",ST,USGS,-71.2150533,42.16315426,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104890
1109145,"MOUNT HOPE BAY NEAR NORTH TIVERTON, RI",ES,USGS,-71.21338,41.67371328,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109145
4.12932E+14,"SAKONNET RIVER NEAR CHURCH POINT, RI",OC-CO,USGS,-71.2130556,41.49232778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=412932071124701
1104980,"HAWES BROOK AT NORWOOD, MA",ST,USGS,-71.2081087,42.17398758,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104980
4.1592E+14,"NORTH NORTON RESERVOIR, NORTON, MA",LK,USGS,-71.2019444,41.98888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415920071120701
1109135,"COLE RIVER NEAR SWANSEA, MA",ST,USGS,-71.19865787,41.7751016,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109135
1105100,"TRAPHOLE BROOK NEAR NORWOOD, MA",ST,USGS,-71.1958859,42.1600988,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105100
1108300,"CANOE RIVER AT EAST FOXBORO, MA",ST,USGS,-71.19588468,42.07093257,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01108300
1109130,"LEWIN BROOK AT SWANSEA, MA",ST,USGS,-71.195324,41.748713,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109130
1104055,"SAWMILL BROOK AT MOUTH, NEAR WEST ROXBURY, MA",ST,USGS,-71.18477597,42.280098,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104055
1105530,"PURGATORY BROOK NEAR NORWOOD, MA",ST,USGS,-71.18449739,42.2092653,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105530
1105255,"BEAVER BROOK AT MASKWONICUT ST AT SHARON, MA",ST,USGS,-71.1775516,42.1331546,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105255
1104050,"SAWMILL BROOK NEAR WEST ROXBURY, MA",ST,USGS,-71.1739424,42.2909312,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104050
1103990,"LOWDER BROOK AT DEDHAM, MA",ST,USGS,-71.1719976,42.25204295,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103990
1105200,"MASSAPOAG BROOK AT SHARON, MA",ST,USGS,-71.17144,42.11482139,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105200
1109043,"THREEMILE RIVER AT CRANE ST, TAUNTON, MA",ST,USGS,-71.1604111,41.9467583,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109043
1105504,"EAST BRANCH NEPONSET AT CANTON JUNCTION, MA",ST,USGS,-71.15477349,42.15871016,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105504
1109048,"THREEMILE RIVER AT NORTON AVE, TAUNTON, MA",ST,USGS,-71.1542667,41.93330278,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109048
1108320,"CANOE RIVER NEAR NORTON, MA",ST,USGS,-71.14393699,41.97732228,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01108320
1108340,"POQUANTICUT BROOK NEAR NORTH EASTON, MA",ST,USGS,-71.142549,42.03787746,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01108340
1105300,"STEEP HILL BROOK AT CANTON, MA",ST,USGS,-71.1367171,42.14426589,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105300
1105553,"PONKAPOAG BROOK NEAR CANTON, MA",ST,USGS,-71.1353291,42.20343228,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105553
1105450,"PEQUID BROOK AT CANTON, MA",ST,USGS,-71.1339396,42.1675991,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105450
1108360,"MULBERRY MEADOW BROOK NEAR NORTON, MA",ST,USGS,-71.1339366,41.97815566,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01108360
4.15216E+14,"MT HOPE TAUNTON, MA",LK,USGS,-71.13,41.8711111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415216071074801
1106000,"ADAMSVILLE BROOK AT ADAMSVILLE, RI",ST,USGS,-71.12921047,41.5584366,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01106000
1105350,"BEAVER MEADOW BROOK AT CANTON, MA",ST,USGS,-71.1261613,42.14982147,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105350
1109110,"NORTH WATUPPA POND NEAR FALL RIVER, MA",LK,USGS,-71.12059967,41.695658,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109110
