# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2024-07-09 14:23:46 -04:00	(natwebcaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 0110588332 MARSTONS MILLS RV, DS OUT. OF BOG, MARS. MILLS, MA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 0110588332
#    TS_ID       Parameter Description
#    292329      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	292329_00060	292329_00060_cd
USGS	0110588332	2024-07-03 09:15	EDT	6.10	P
USGS	0110588332	2024-07-03 09:30	EDT	6.08	P
USGS	0110588332	2024-07-03 09:45	EDT	6.10	P
USGS	0110588332	2024-07-03 10:00	EDT	6.08	P
USGS	0110588332	2024-07-03 10:15	EDT	6.05	P
USGS	0110588332	2024-07-03 10:30	EDT	6.04	P
USGS	0110588332	2024-07-03 10:45	EDT	6.04	P
USGS	0110588332	2024-07-03 11:00	EDT	6.02	P
USGS	0110588332	2024-07-03 11:15	EDT	5.94	P
USGS	0110588332	2024-07-03 11:30	EDT	5.93	P
USGS	0110588332	2024-07-03 11:45	EDT	5.93	P
USGS	0110588332	2024-07-03 12:00	EDT	5.94	P
USGS	0110588332	2024-07-03 12:15	EDT	5.90	P
USGS	0110588332	2024-07-03 12:30	EDT	5.90	P
USGS	0110588332	2024-07-03 12:45	EDT	5.90	P
USGS	0110588332	2024-07-03 13:00	EDT	5.86	P
USGS	0110588332	2024-07-03 13:15	EDT	5.83	P
USGS	0110588332	2024-07-03 13:30	EDT	5.82	P
USGS	0110588332	2024-07-03 13:45	EDT	5.82	P
USGS	0110588332	2024-07-03 14:00	EDT	5.82	P
USGS	0110588332	2024-07-03 14:15	EDT	5.80	P
USGS	0110588332	2024-07-03 14:30	EDT	5.76	P
USGS	0110588332	2024-07-03 14:45	EDT	5.77	P
USGS	0110588332	2024-07-03 15:00	EDT	5.74	P
USGS	0110588332	2024-07-03 15:15	EDT	5.74	P
USGS	0110588332	2024-07-03 15:30	EDT	5.74	P
USGS	0110588332	2024-07-03 15:45	EDT	5.74	P
USGS	0110588332	2024-07-03 16:00	EDT	5.74	P
USGS	0110588332	2024-07-03 16:15	EDT	5.74	P
USGS	0110588332	2024-07-03 16:30	EDT	5.76	P
USGS	0110588332	2024-07-03 16:45	EDT	5.77	P
USGS	0110588332	2024-07-03 17:00	EDT	5.79	P
USGS	0110588332	2024-07-03 17:15	EDT	5.79	P
USGS	0110588332	2024-07-03 17:30	EDT	5.77	P
USGS	0110588332	2024-07-03 17:45	EDT	5.77	P
USGS	0110588332	2024-07-03 18:00	EDT	5.79	P
USGS	0110588332	2024-07-03 18:15	EDT	5.79	P
USGS	0110588332	2024-07-03 18:30	EDT	5.82	P
USGS	0110588332	2024-07-03 18:45	EDT	5.80	P
USGS	0110588332	2024-07-03 19:00	EDT	5.83	P
USGS	0110588332	2024-07-03 19:15	EDT	5.42	P
USGS	0110588332	2024-07-03 19:30	EDT	4.82	P
USGS	0110588332	2024-07-03 19:45	EDT	4.49	P
USGS	0110588332	2024-07-03 20:00	EDT	4.25	P
USGS	0110588332	2024-07-03 20:15	EDT	4.97	P
USGS	0110588332	2024-07-03 20:30	EDT	5.29	P
USGS	0110588332	2024-07-03 20:45	EDT	5.50	P
USGS	0110588332	2024-07-03 21:00	EDT	5.62	P
USGS	0110588332	2024-07-03 21:15	EDT	5.69	P
USGS	0110588332	2024-07-03 21:30	EDT	5.74	P
USGS	0110588332	2024-07-03 21:45	EDT	5.80	P
USGS	0110588332	2024-07-03 22:00	EDT	5.82	P
USGS	0110588332	2024-07-03 22:15	EDT	5.85	P
USGS	0110588332	2024-07-03 22:30	EDT	5.88	P
USGS	0110588332	2024-07-03 22:45	EDT	5.90	P
USGS	0110588332	2024-07-03 23:00	EDT	5.85	P
USGS	0110588332	2024-07-03 23:15	EDT	5.80	P
USGS	0110588332	2024-07-03 23:30	EDT	5.35	P
USGS	0110588332	2024-07-03 23:45	EDT	5.08	P
USGS	0110588332	2024-07-04 00:00	EDT	5.38	P
USGS	0110588332	2024-07-04 00:15	EDT	5.65	P
USGS	0110588332	2024-07-04 00:30	EDT	5.77	P
USGS	0110588332	2024-07-04 00:45	EDT	5.86	P
USGS	0110588332	2024-07-04 01:00	EDT	5.88	P
USGS	0110588332	2024-07-04 01:15	EDT	5.93	P
USGS	0110588332	2024-07-04 01:30	EDT	5.94	P
USGS	0110588332	2024-07-04 01:45	EDT	5.97	P
USGS	0110588332	2024-07-04 02:00	EDT	5.97	P
USGS	0110588332	2024-07-04 02:15	EDT	5.97	P
USGS	0110588332	2024-07-04 02:30	EDT	5.99	P
USGS	0110588332	2024-07-04 02:45	EDT	5.99	P
USGS	0110588332	2024-07-04 03:00	EDT	5.99	P
USGS	0110588332	2024-07-04 03:15	EDT	5.99	P
USGS	0110588332	2024-07-04 03:30	EDT	6.00	P
USGS	0110588332	2024-07-04 03:45	EDT	6.00	P
USGS	0110588332	2024-07-04 04:00	EDT	6.02	P
USGS	0110588332	2024-07-04 04:15	EDT	6.02	P
USGS	0110588332	2024-07-04 04:30	EDT	6.04	P
USGS	0110588332	2024-07-04 04:45	EDT	5.69	P
USGS	0110588332	2024-07-04 05:00	EDT	5.63	P
USGS	0110588332	2024-07-04 05:15	EDT	5.59	P
USGS	0110588332	2024-07-04 05:30	EDT	5.73	P
USGS	0110588332	2024-07-04 05:45	EDT	5.91	P
USGS	0110588332	2024-07-04 06:00	EDT	5.94	P
USGS	0110588332	2024-07-04 06:15	EDT	5.96	P
USGS	0110588332	2024-07-04 06:30	EDT	5.97	P
USGS	0110588332	2024-07-04 06:45	EDT	5.97	P
USGS	0110588332	2024-07-04 07:00	EDT	5.99	P
USGS	0110588332	2024-07-04 07:15	EDT	5.99	P
USGS	0110588332	2024-07-04 07:30	EDT	6.00	P
USGS	0110588332	2024-07-04 07:45	EDT	6.00	P
USGS	0110588332	2024-07-04 08:00	EDT	6.00	P
USGS	0110588332	2024-07-04 08:15	EDT	6.00	P
USGS	0110588332	2024-07-04 08:30	EDT	6.02	P
USGS	0110588332	2024-07-04 08:45	EDT	6.02	P
USGS	0110588332	2024-07-04 09:00	EDT	6.04	P
USGS	0110588332	2024-07-04 09:15	EDT	6.04	P
USGS	0110588332	2024-07-04 09:30	EDT	6.02	P
USGS	0110588332	2024-07-04 09:45	EDT	6.00	P
USGS	0110588332	2024-07-04 10:00	EDT	6.00	P
USGS	0110588332	2024-07-04 10:15	EDT	6.00	P
USGS	0110588332	2024-07-04 10:30	EDT	6.02	P
USGS	0110588332	2024-07-04 10:45	EDT	6.02	P
USGS	0110588332	2024-07-04 11:00	EDT	5.97	P
USGS	0110588332	2024-07-04 11:15	EDT	5.94	P
USGS	0110588332	2024-07-04 11:30	EDT	5.93	P
USGS	0110588332	2024-07-04 11:45	EDT	5.93	P
USGS	0110588332	2024-07-04 12:00	EDT	5.88	P
USGS	0110588332	2024-07-04 12:15	EDT	5.88	P
USGS	0110588332	2024-07-04 12:30	EDT	5.85	P
USGS	0110588332	2024-07-04 12:45	EDT	5.82	P
USGS	0110588332	2024-07-04 13:00	EDT	5.80	P
USGS	0110588332	2024-07-04 13:15	EDT	5.79	P
USGS	0110588332	2024-07-04 13:30	EDT	5.77	P
USGS	0110588332	2024-07-04 13:45	EDT	5.77	P
USGS	0110588332	2024-07-04 14:00	EDT	5.74	P
USGS	0110588332	2024-07-04 14:15	EDT	5.69	P
USGS	0110588332	2024-07-04 14:30	EDT	5.69	P
USGS	0110588332	2024-07-04 14:45	EDT	5.68	P
USGS	0110588332	2024-07-04 15:00	EDT	5.66	P
USGS	0110588332	2024-07-04 15:15	EDT	5.66	P
USGS	0110588332	2024-07-04 15:30	EDT	5.66	P
USGS	0110588332	2024-07-04 15:45	EDT	5.66	P
USGS	0110588332	2024-07-04 16:00	EDT	5.68	P
USGS	0110588332	2024-07-04 16:15	EDT	5.66	P
USGS	0110588332	2024-07-04 16:30	EDT	5.68	P
USGS	0110588332	2024-07-04 16:45	EDT	5.71	P
USGS	0110588332	2024-07-04 17:00	EDT	5.69	P
USGS	0110588332	2024-07-04 17:15	EDT	5.69	P
USGS	0110588332	2024-07-04 17:30	EDT	5.73	P
USGS	0110588332	2024-07-04 17:45	EDT	5.76	P
USGS	0110588332	2024-07-04 18:00	EDT	5.79	P
USGS	0110588332	2024-07-04 18:15	EDT	5.80	P
USGS	0110588332	2024-07-04 18:30	EDT	5.80	P
USGS	0110588332	2024-07-04 18:45	EDT	5.79	P
USGS	0110588332	2024-07-04 19:00	EDT	5.83	P
USGS	0110588332	2024-07-04 19:15	EDT	5.82	P
USGS	0110588332	2024-07-04 19:30	EDT	5.82	P
USGS	0110588332	2024-07-04 19:45	EDT	5.60	P
USGS	0110588332	2024-07-04 20:00	EDT	5.47	P
USGS	0110588332	2024-07-04 20:15	EDT	5.44	P
USGS	0110588332	2024-07-04 20:30	EDT	5.57	P
USGS	0110588332	2024-07-04 20:45	EDT	5.74	P
USGS	0110588332	2024-07-04 21:00	EDT	5.80	P
USGS	0110588332	2024-07-04 21:15	EDT	5.86	P
USGS	0110588332	2024-07-04 21:30	EDT	5.91	P
USGS	0110588332	2024-07-04 21:45	EDT	5.91	P
USGS	0110588332	2024-07-04 22:00	EDT	5.93	P
USGS	0110588332	2024-07-04 22:15	EDT	5.91	P
USGS	0110588332	2024-07-04 22:30	EDT	5.93	P
USGS	0110588332	2024-07-04 22:45	EDT	5.93	P
USGS	0110588332	2024-07-04 23:00	EDT	5.94	P
USGS	0110588332	2024-07-04 23:15	EDT	5.96	P
USGS	0110588332	2024-07-04 23:30	EDT	5.96	P
USGS	0110588332	2024-07-04 23:45	EDT	5.94	P
USGS	0110588332	2024-07-05 00:00	EDT	5.97	P
USGS	0110588332	2024-07-05 00:15	EDT	5.96	P
USGS	0110588332	2024-07-05 00:30	EDT	5.99	P
USGS	0110588332	2024-07-05 00:45	EDT	5.99	P
USGS	0110588332	2024-07-05 01:00	EDT	5.99	P
USGS	0110588332	2024-07-05 01:15	EDT	5.99	P
USGS	0110588332	2024-07-05 01:30	EDT	5.99	P
USGS	0110588332	2024-07-05 01:45	EDT	5.99	P
USGS	0110588332	2024-07-05 02:00	EDT	6.00	P
USGS	0110588332	2024-07-05 02:15	EDT	5.99	P
USGS	0110588332	2024-07-05 02:30	EDT	5.99	P
USGS	0110588332	2024-07-05 02:45	EDT	5.99	P
USGS	0110588332	2024-07-05 03:00	EDT	5.99	P
USGS	0110588332	2024-07-05 03:15	EDT	5.99	P
USGS	0110588332	2024-07-05 03:30	EDT	6.00	P
USGS	0110588332	2024-07-05 03:45	EDT	6.00	P
USGS	0110588332	2024-07-05 04:00	EDT	6.00	P
USGS	0110588332	2024-07-05 04:15	EDT	6.00	P
USGS	0110588332	2024-07-05 04:30	EDT	6.00	P
USGS	0110588332	2024-07-05 04:45	EDT	5.69	P
USGS	0110588332	2024-07-05 05:00	EDT	5.59	P
USGS	0110588332	2024-07-05 05:15	EDT	5.54	P
USGS	0110588332	2024-07-05 05:30	EDT	5.74	P
USGS	0110588332	2024-07-05 05:45	EDT	5.86	P
USGS	0110588332	2024-07-05 06:00	EDT	5.90	P
USGS	0110588332	2024-07-05 06:15	EDT	5.91	P
USGS	0110588332	2024-07-05 06:30	EDT	5.91	P
USGS	0110588332	2024-07-05 06:45	EDT	5.93	P
USGS	0110588332	2024-07-05 07:00	EDT	5.93	P
USGS	0110588332	2024-07-05 07:15	EDT	5.96	P
USGS	0110588332	2024-07-05 07:30	EDT	5.97	P
USGS	0110588332	2024-07-05 07:45	EDT	5.99	P
USGS	0110588332	2024-07-05 08:00	EDT	5.99	P
USGS	0110588332	2024-07-05 08:15	EDT	5.97	P
USGS	0110588332	2024-07-05 08:30	EDT	5.99	P
USGS	0110588332	2024-07-05 08:45	EDT	5.97	P
USGS	0110588332	2024-07-05 09:00	EDT	5.99	P
USGS	0110588332	2024-07-05 09:15	EDT	5.97	P
USGS	0110588332	2024-07-05 09:30	EDT	5.97	P
USGS	0110588332	2024-07-05 09:45	EDT	5.97	P
USGS	0110588332	2024-07-05 10:00	EDT	5.97	P
USGS	0110588332	2024-07-05 10:15	EDT	5.96	P
USGS	0110588332	2024-07-05 10:30	EDT	5.97	P
USGS	0110588332	2024-07-05 10:45	EDT	5.99	P
USGS	0110588332	2024-07-05 11:00	EDT	5.99	P
USGS	0110588332	2024-07-05 11:15	EDT	5.99	P
USGS	0110588332	2024-07-05 11:30	EDT	5.97	P
USGS	0110588332	2024-07-05 11:45	EDT	5.97	P
USGS	0110588332	2024-07-05 12:00	EDT	5.97	P
USGS	0110588332	2024-07-05 12:15	EDT	5.99	P
USGS	0110588332	2024-07-05 12:30	EDT	5.97	P
USGS	0110588332	2024-07-05 12:45	EDT	5.99	P
USGS	0110588332	2024-07-05 13:00	EDT	5.99	P
USGS	0110588332	2024-07-05 13:15	EDT	5.99	P
USGS	0110588332	2024-07-05 13:30	EDT	6.00	P
USGS	0110588332	2024-07-05 13:45	EDT	6.00	P
USGS	0110588332	2024-07-05 14:00	EDT	6.00	P
USGS	0110588332	2024-07-05 14:15	EDT	5.99	P
USGS	0110588332	2024-07-05 14:30	EDT	5.97	P
USGS	0110588332	2024-07-05 14:45	EDT	5.96	P
USGS	0110588332	2024-07-05 15:00	EDT	5.93	P
USGS	0110588332	2024-07-05 15:15	EDT	5.93	P
USGS	0110588332	2024-07-05 15:30	EDT	5.93	P
USGS	0110588332	2024-07-05 15:45	EDT	5.91	P
USGS	0110588332	2024-07-05 16:00	EDT	5.91	P
USGS	0110588332	2024-07-05 16:15	EDT	5.90	P
USGS	0110588332	2024-07-05 16:30	EDT	5.90	P
USGS	0110588332	2024-07-05 16:45	EDT	5.90	P
USGS	0110588332	2024-07-05 17:00	EDT	5.90	P
USGS	0110588332	2024-07-05 17:15	EDT	5.91	P
USGS	0110588332	2024-07-05 17:30	EDT	5.91	P
USGS	0110588332	2024-07-05 17:45	EDT	5.91	P
USGS	0110588332	2024-07-05 18:00	EDT	5.91	P
USGS	0110588332	2024-07-05 18:15	EDT	5.91	P
USGS	0110588332	2024-07-05 18:30	EDT	5.91	P
USGS	0110588332	2024-07-05 18:45	EDT	5.93	P
USGS	0110588332	2024-07-05 19:00	EDT	5.94	P
USGS	0110588332	2024-07-05 19:15	EDT	5.96	P
USGS	0110588332	2024-07-05 19:30	EDT	5.96	P
USGS	0110588332	2024-07-05 19:45	EDT	5.96	P
USGS	0110588332	2024-07-05 20:00	EDT	5.96	P
USGS	0110588332	2024-07-05 20:15	EDT	5.97	P
USGS	0110588332	2024-07-05 20:30	EDT	5.96	P
USGS	0110588332	2024-07-05 20:45	EDT	5.96	P
USGS	0110588332	2024-07-05 21:00	EDT	5.97	P
USGS	0110588332	2024-07-05 21:15	EDT	5.99	P
USGS	0110588332	2024-07-05 21:30	EDT	5.99	P
USGS	0110588332	2024-07-05 21:45	EDT	5.99	P
USGS	0110588332	2024-07-05 22:00	EDT	6.00	P
USGS	0110588332	2024-07-05 22:15	EDT	5.99	P
USGS	0110588332	2024-07-05 22:30	EDT	6.02	P
USGS	0110588332	2024-07-05 22:45	EDT	6.00	P
USGS	0110588332	2024-07-05 23:00	EDT	6.02	P
USGS	0110588332	2024-07-05 23:15	EDT	6.02	P
USGS	0110588332	2024-07-05 23:30	EDT	6.02	P
USGS	0110588332	2024-07-05 23:45	EDT	6.02	P
USGS	0110588332	2024-07-06 00:00	EDT	6.04	P
USGS	0110588332	2024-07-06 00:15	EDT	6.02	P
USGS	0110588332	2024-07-06 00:30	EDT	6.04	P
USGS	0110588332	2024-07-06 00:45	EDT	6.05	P
USGS	0110588332	2024-07-06 01:00	EDT	6.02	P
USGS	0110588332	2024-07-06 01:15	EDT	6.02	P
USGS	0110588332	2024-07-06 01:30	EDT	6.02	P
USGS	0110588332	2024-07-06 01:45	EDT	6.02	P
USGS	0110588332	2024-07-06 02:00	EDT	6.04	P
USGS	0110588332	2024-07-06 02:15	EDT	6.02	P
USGS	0110588332	2024-07-06 02:30	EDT	6.02	P
USGS	0110588332	2024-07-06 02:45	EDT	6.04	P
USGS	0110588332	2024-07-06 03:00	EDT	6.02	P
USGS	0110588332	2024-07-06 03:15	EDT	6.02	P
USGS	0110588332	2024-07-06 03:30	EDT	6.00	P
USGS	0110588332	2024-07-06 03:45	EDT	6.02	P
USGS	0110588332	2024-07-06 04:00	EDT	6.02	P
USGS	0110588332	2024-07-06 04:15	EDT	6.02	P
USGS	0110588332	2024-07-06 04:30	EDT	6.02	P
USGS	0110588332	2024-07-06 04:45	EDT	6.02	P
USGS	0110588332	2024-07-06 05:00	EDT	6.02	P
USGS	0110588332	2024-07-06 05:15	EDT	6.02	P
USGS	0110588332	2024-07-06 05:30	EDT	6.02	P
USGS	0110588332	2024-07-06 05:45	EDT	5.99	P
USGS	0110588332	2024-07-06 06:00	EDT	5.97	P
USGS	0110588332	2024-07-06 06:15	EDT	5.96	P
USGS	0110588332	2024-07-06 06:30	EDT	5.94	P
USGS	0110588332	2024-07-06 06:45	EDT	5.96	P
USGS	0110588332	2024-07-06 07:00	EDT	5.96	P
USGS	0110588332	2024-07-06 07:15	EDT	5.96	P
USGS	0110588332	2024-07-06 07:30	EDT	5.96	P
USGS	0110588332	2024-07-06 07:45	EDT	5.99	P
USGS	0110588332	2024-07-06 08:00	EDT	5.97	P
USGS	0110588332	2024-07-06 08:15	EDT	5.99	P
USGS	0110588332	2024-07-06 08:30	EDT	5.99	P
USGS	0110588332	2024-07-06 08:45	EDT	5.99	P
USGS	0110588332	2024-07-06 09:00	EDT	6.00	P
USGS	0110588332	2024-07-06 09:15	EDT	6.00	P
USGS	0110588332	2024-07-06 09:30	EDT	6.00	P
USGS	0110588332	2024-07-06 09:45	EDT	6.02	P
USGS	0110588332	2024-07-06 10:00	EDT	6.00	P
USGS	0110588332	2024-07-06 10:15	EDT	6.02	P
USGS	0110588332	2024-07-06 10:30	EDT	6.02	P
USGS	0110588332	2024-07-06 10:45	EDT	6.02	P
USGS	0110588332	2024-07-06 11:00	EDT	6.02	P
USGS	0110588332	2024-07-06 11:15	EDT	6.02	P
USGS	0110588332	2024-07-06 11:30	EDT	6.02	P
USGS	0110588332	2024-07-06 11:45	EDT	6.02	P
USGS	0110588332	2024-07-06 12:00	EDT	6.02	P
USGS	0110588332	2024-07-06 12:15	EDT	6.04	P
USGS	0110588332	2024-07-06 12:30	EDT	6.05	P
USGS	0110588332	2024-07-06 12:45	EDT	6.04	P
USGS	0110588332	2024-07-06 13:00	EDT	6.05	P
USGS	0110588332	2024-07-06 13:15	EDT	6.05	P
USGS	0110588332	2024-07-06 13:30	EDT	6.04	P
USGS	0110588332	2024-07-06 13:45	EDT	6.05	P
USGS	0110588332	2024-07-06 14:00	EDT	6.04	P
USGS	0110588332	2024-07-06 14:15	EDT	6.04	P
USGS	0110588332	2024-07-06 14:30	EDT	6.04	P
USGS	0110588332	2024-07-06 14:45	EDT	6.04	P
USGS	0110588332	2024-07-06 15:00	EDT	6.04	P
USGS	0110588332	2024-07-06 15:15	EDT	6.04	P
USGS	0110588332	2024-07-06 15:30	EDT	6.04	P
USGS	0110588332	2024-07-06 15:45	EDT	6.04	P
USGS	0110588332	2024-07-06 16:00	EDT	6.02	P
USGS	0110588332	2024-07-06 16:15	EDT	6.04	P
USGS	0110588332	2024-07-06 16:30	EDT	6.02	P
USGS	0110588332	2024-07-06 16:45	EDT	6.02	P
USGS	0110588332	2024-07-06 17:00	EDT	6.04	P
USGS	0110588332	2024-07-06 17:15	EDT	6.02	P
USGS	0110588332	2024-07-06 17:30	EDT	6.02	P
USGS	0110588332	2024-07-06 17:45	EDT	6.02	P
USGS	0110588332	2024-07-06 18:00	EDT	6.02	P
USGS	0110588332	2024-07-06 18:15	EDT	6.02	P
USGS	0110588332	2024-07-06 18:30	EDT	6.02	P
USGS	0110588332	2024-07-06 18:45	EDT	6.04	P
USGS	0110588332	2024-07-06 19:00	EDT	6.02	P
USGS	0110588332	2024-07-06 19:15	EDT	6.02	P
USGS	0110588332	2024-07-06 19:30	EDT	6.04	P
USGS	0110588332	2024-07-06 19:45	EDT	6.02	P
USGS	0110588332	2024-07-06 20:00	EDT	6.04	P
USGS	0110588332	2024-07-06 20:15	EDT	6.02	P
USGS	0110588332	2024-07-06 20:30	EDT	6.04	P
USGS	0110588332	2024-07-06 20:45	EDT	6.04	P
USGS	0110588332	2024-07-06 21:00	EDT	6.04	P
USGS	0110588332	2024-07-06 21:15	EDT	6.05	P
USGS	0110588332	2024-07-06 21:30	EDT	6.05	P
USGS	0110588332	2024-07-06 21:45	EDT	6.07	P
USGS	0110588332	2024-07-06 22:00	EDT	6.05	P
USGS	0110588332	2024-07-06 22:15	EDT	6.07	P
USGS	0110588332	2024-07-06 22:30	EDT	6.08	P
USGS	0110588332	2024-07-06 22:45	EDT	6.07	P
USGS	0110588332	2024-07-06 23:00	EDT	6.08	P
USGS	0110588332	2024-07-06 23:15	EDT	6.07	P
USGS	0110588332	2024-07-06 23:30	EDT	6.08	P
USGS	0110588332	2024-07-06 23:45	EDT	6.07	P
USGS	0110588332	2024-07-07 00:00	EDT	6.08	P
USGS	0110588332	2024-07-07 00:15	EDT	6.08	P
USGS	0110588332	2024-07-07 00:30	EDT	6.08	P
USGS	0110588332	2024-07-07 00:45	EDT	6.08	P
USGS	0110588332	2024-07-07 01:00	EDT	6.08	P
USGS	0110588332	2024-07-07 01:15	EDT	6.10	P
USGS	0110588332	2024-07-07 01:30	EDT	6.08	P
USGS	0110588332	2024-07-07 01:45	EDT	6.07	P
