idn,Region_MEP,Region,MEP,SiteName,Lat,Lon,Year_Start,Year_End,Dates,Pond Atten. (%),Qmeas (m3/d),Qmod (m3/d),Qdiff (%),NOX (mg/L),NH4 (mg/L),TN (mg/L),NOX:TN,Pond/Stream N Atten. Meas. (%),Notes,
19,Buzzards Bay > Westport > Westport River 1,Buzzards Bay,Westport,Westport River 1,41.62184,-71.059327,2005,2006,2005-2006,,272703.126,216953,-20.4435229,0.267,,0.938,0.284648188,,*,
20,Buzzards Bay > Westport > Westport River 2,Buzzards Bay,Westport,Westport River 2,41.62184,-71.059327,2006,2007,2006-2007,50,217352.2767,216953,-0.183700261,0.423,,1.361,0.310800882,15,watershed boundaries not defined using mod flow,
21,Cape Cod > Barnstable > Alder Brook,Cape Cod,Barnstable,Alder Brook,41.714883,-70.384253,2006,2007,2006-2007,50,917,943,2.835332606,0.078,,0.857,0.091015169,41,,
22,Cape Cod > Phinneys > Back River,Cape Cod,Phinneys,Back River,41.726801,-70.602171,2002,2003,2002-2003,50,1822,2197,20.58177827,0.385,high,0.749,0.514018692,51,,0.856
23,Cape Cod > GBB > Backus Brook,Cape Cod,GBB,Backus Brook,41.578791,-70.563246,2002,2003,2002-2003,,7211,6899,-4.326723062,0.062,,0.528,0.117424242,67,,1.137
24,Cape Cod > Barnstable > Boat Cove Creek,Cape Cod,Barnstable,Boat Cove Creek,41.711745,-70.379438,2006,2007,2006-2007,50,12850,12435,-3.229571984,0.261,,0.685,0.381021898,-3,,
25,Cape Cod > GBB > Bournes Brook,Cape Cod,GBB,Bournes Brook,41.576468,-70.55128,2002,2003,2002-2003,,3766,5847,55.25756771,0.543,,0.874,0.621281465,54,,
26,Cape Cod > Barnstable > Bridge Creek,Cape Cod,Barnstable,Bridge Creek,41.70261,-70.384159,2006,2007,2006-2007,50,5472,5668,3.581871345,0.171,,0.648,0.263888889,41,,
27,Cape Cod > Centerville > Bumps River,Cape Cod,Centerville,Bumps River,41.648377,-70.362306,2003,2005,2003-2005,50,5679,5217,-8.135235077,2.207,,2.978,0.74110141,22,,
28,Cape Cod > Fiddlers > Cedar Lake,Cape Cod,Fiddlers,Cedar Lake,41.648848,-70.626459,2005,2006,2005-2006,50,2417,2477,2.482416218,0.314,,0.895,0.350837989,19,,
29,Cape Cod > Namskaket > Cedar Pond,Cape Cod,Namskaket,Cedar Pond,41.79719,-69.991681,2002,2003,2002-2003,50,1271,1057,-16.83713611,0.116,,0.86,0.134883721,58,,
30,Cape Cod > Lewis Bay > Chase Brook,Cape Cod,Lewis Bay,Chase Brook,41.652992,-70.251581,2003,2004,2003-2004,50,3255,2321,-28.69431644,0.45,,1.035,0.434782609,36,,
31,Cape Cod > Barnstable > Chase Garden Creek,Cape Cod,Barnstable,Chase Garden Creek,41.733119,-70.20151,2006,2007,2006-2007,50,1611,1574,-2.296710118,0.371,,1.058,0.350661626,60,,
32,Cape Cod > Waquoit Bay > Childs River,Cape Cod,Waquoit Bay,Childs River,41.585572,-70.52713,2006,2007,2006-2007,50,10372,11492,10.79830312,0.2069,,0.258,0.801937984,29,,
33,Cape Cod > Allen > Cold Spring Brook,Cape Cod,Allen,Cold Spring Brook,41.669714,-70.061295,2004,2005,2004-2005,50,10328,8995,-12.9066615,0.672,,0.961,0.699271592,53,,
34,Cape Cod > GBB > Coonamesset River,Cape Cod,GBB,Coonamesset River,41.578178,-70.573375,2002,2003,2002-2003,*,26593,44354,66.78825255,0.565,,0.851,0.663924794,51,,
35,Cape Cod > Magansett > Cuffs Pond,Cape Cod,Magansett,Cuffs Pond,41.659699,-70.615392,2005,2006,2005-2006,50,3302,3493,5.784373107,0.336,,0.669,0.502242152,40.6,,
36,Cape Cod > Allen > E Saquatucket Stream,Cape Cod,Allen,E Saquatucket Stream,41.671203,-70.057882,2004,2005,2004-2005,50,3929,3710,-5.573937389,0.63,,0.987,0.638297872,21,,
37,Cape Cod > Plymouth Duxbury > Eel River,Cape Cod,Plymouth Duxbury,Eel River,41.94313,-70.624295,2003,2004,2003-2004,50,68983,69036,0.076830523,0.144,,0.642,0.224299065,60,,
38,Cape Cod > Fiddlers > Flax Pond,Cape Cod,Fiddlers,Flax Pond,41.646453,-70.627569,2005,2006,2005-2006,50,1626,1646,1.2300123,0.462,0.02,0.875,0.528,-8,,
39,Cape Cod > Parkers River > Forest Brook,Cape Cod,Parkers River,Forest Brook,41.662197,-70.208777,2003,2004,2003-2004,50,823,821,-0.243013366,0.459,,1.258,0.364864865,36,,
40,Cape Cod > Wellfleet > Fresh Brook,Cape Cod,Wellfleet,Fresh Brook,41.890671,-69.988127,2004,2005,2004-2005,50,2344,2546,8.61774744,0.223,,0.561,0.397504456,8,,
41,Cape Cod > Bass River > Fresh Pond,Cape Cod,Bass River,Fresh Pond,41.670598,-70.154567,2003,2004,2003-2004,50,1107,1246,12.5564589,0.124,,0.955,0.129842932,40,,
42,Cape Cod > Lewis Bay > Halls Creek,Cape Cod,Lewis Bay,Halls Creek,41.638792,-70.30766,2003,2004,2003-2004,50,1185,1485,25.3164557,0.848,,1.348,0.629080119,68,,
43,Cape Cod > Bass River > Hamblin Brook,Cape Cod,Bass River,Hamblin Brook,41.70069,-70.213453,2005,2006,2005-2006,50,2993,3195,6.749081189,0.532,,1.181,0.450465707,65,,
44,Cape Cod > Wellfleet > Hatches Creek,Cape Cod,Wellfleet,Hatches Creek,41.876602,-69.993934,2004,2005,2004-2005,50,743,836,12.51682369,1.92,,1.92,1,0,,
45,Cape Cod > Wellfleet > Herring River,Cape Cod,Wellfleet,Herring River,41.943477,-70.057246,2003,2005,2003-2005,50,28323,29768,5.101860679,0.076,,1.002,0.075848303,0,,
46,Cape Cod > Lewis Bay > Hosptial Bog,Cape Cod,Lewis Bay,Hosptial Bog,41.647996,-70.272014,2003,2004,2003-2004,50,1318,1126,-14.56752656,0.643,,1.167,0.550985433,43,,
47,Cape Cod > Namskaket > Hurley Bog,Cape Cod,Namskaket,Hurley Bog,41.781234,-70.011355,2002,2004,2002-2004,50,4050,4499,11.08641975,0.352,,0.837,0.420549582,24,specifc pond atten. under review,
48,Cape Cod > Plymouth Duxbury > Jones River,Cape Cod,Plymouth Duxbury,Jones River,41.98991,-70.724075,2003,2004,2003-2004,50,102201,101216,-0.963787047,0.517,0.004,1.041,0.496637848,22,,
49,Cape Cod > Pleasant Bay > Kescayo Gansett,Cape Cod,Pleasant Bay,Kescayo Gansett,41.768813,-69.977752,2002,2003,2002-2003,50,981,1066,8.664627931,0.19,,0.796,0.238693467,24,,
50,Cape Cod > Centerville > Lake Elizabeth Stream,Cape Cod,Centerville,Lake Elizabeth Stream,41.637222,-70.335589,2003,2005,2003-2005,50,1547,1318,-14.80284421,0.937,,1.479,0.633536173,60,,
51,Cape Cod > Three Bays > Little River,Cape Cod,Three Bays,Little River,41.626419,-70.428474,2002,2003,2002-2003,,3483,4211,20.90152168,0.481,,0.856,0.561915888,51,,
52,Cape Cod > Scorton > Long Creek,Cape Cod,Scorton,Long Creek,41.74934,-70.440367,2006,2007,2006-2007,50,6689,6734,0.6727463,0.115,0.024,0.68,0.169117647,51,,
53,Cape Cod > Centerville > Long Pond Stream,Cape Cod,Centerville,Long Pond Stream,41.657805,-70.334281,2003,2005,2003-2005,50,6518,6254,-4.050322185,0.199,,0.53,0.375471698,67,,
54,Cape Cod > Barnstable > Maraspin Creek,Cape Cod,Barnstable,Maraspin Creek,41.703134,-70.288283,2006,2007,2006-2007,50,1384,1396,0.867052023,1.659,,2.114,0.784768212,21,,
55,Cape Cod > Three Bays > Marstons Mill River,Cape Cod,Three Bays,Marstons Mill River,41.656117,-70.416578,2002,2003,2002-2003,,16091,13922,-13.47958486,0.799,,1.137,0.702726473,60,,
56,Cape Cod > Nauset > Mary Chase Marsh Creek,Cape Cod,Nauset,Mary Chase Marsh Creek,41.816839,-69.967575,2003,2004,2003-2004,50,1871,1791,-4.275788348,0.15,low,0.306,0.490196078,34,,
57,Cape Cod > WestFalmouth > Mashapaquit Creek ,Cape Cod,WestFalmouth,Mashapaquit Creek ,,,2002,2003,2002-2003,,1681,1877,11.65972635,0.391,,0.654,0.597859327,48,"no gage map, NOX digitized from Figure IV-8 using webplotdigitizer 4.6 ",
58,Cape Cod > Popponesset > Mashpee River,Cape Cod,Popponesset,Mashpee River,41.624684,-70.480654,2002,2003,2002-2003,50,26223,45220,72.44403768,0.318,high,0.593,0.536256324,71,,
59,Cape Cod > Lewis Bay > Mill Pond,Cape Cod,Lewis Bay,Mill Pond,41.657379,-70.260958,2003,2004,2003-2004,50,15655,15699,0.281060364,0.606,,1.01,0.6,8,,
60,Cape Cod > Falmouth > Morse Pond,Cape Cod,Falmouth,Morse Pond,41.557309,-70.602027,2006,2007,2006-2007,50,786,871,10.81424936,0.047,,0.777,0.06048906,76,,
61,Cape Cod > Oyster Pond > Mosquito/Quivett Creek,Cape Cod,Oyster Pond,Mosquito/Quivett Creek,41.546347,-70.642002,2002,2003,2002-2003,0,97,,-100,0.192,,1.182,0.162436548,-57,,
62,Cape Cod > Pleasant Bay > Paw Wah Pond,Cape Cod,Pleasant Bay,Paw Wah Pond,"41.756401,",-69.970213,2002,2003,2002-2003,50,388,271,-30.15463918,0.191,low,1.618,0.118046972,12,,
63,Cape Cod > Parkers River > Plashes Brook,Cape Cod,Parkers River,Plashes Brook,41.655168,-70.223601,2004,2005,2004-2005,50,3107,3109,0.064370776,0.412,,0.966,0.426501035,43,,
64,Cape Cod > JEHU/Waquoit Bay > Quashnet River,Cape Cod,JEHU/Waquoit Bay,Quashnet River,41.590546,-70.508739,2002,2003,2002-2003,50,41529,46715,12.48765923,0.204,,0.497,0.410462777,39,,
65,Cape Cod > Chatham > Ryder Cove,Cape Cod,Chatham,Ryder Cove,41.706483,-69.984561,2001,2002,2001-2002,,853,2488,191.6764361,0.263,,0.851,0.309048179,14,,
66,Cape Cod > Pleasant Bay > Ryder Cove,Cape Cod,Pleasant Bay,Ryder Cove,41.706196,-69.984372,2000,2002,2000-2002,50,853,2488,191.6764361,0.263,,0.851,0.309048179,7,,
67,Cape Cod > Popponesset > Santuit River,Cape Cod,Popponesset,Santuit River,41.627395,-70.451724,2002,2003,2002-2003,50,13164,20093,52.63597691,0.702,high,1.184,0.592905405,51,,
68,Cape Cod > Scorton > Scorton Creek,Cape Cod,Scorton,Scorton Creek,41.727203,-70.398924,2006,2007,2006-2007,50,4392,4165,-5.16848816,0.16,0.068,0.627,0.255183413,47,,
69,Cape Cod > Sandwich > Shawme Lake,Cape Cod,Sandwich,Shawme Lake,41.758167,-70.500181,2006,2007,2006-2007,50,21478,19252,-10.36409349,0.025,0.011,0.336,0.074404762,17,,
70,Cape Cod > Centerville > Skunknett River,Cape Cod,Centerville,Skunknett River,41.645515,-70.371382,2003,2005,2003-2005,50,13925,11353,-18.47037702,1.113,,1.495,0.744481605,29,,
71,Cape Cod > Lewis Bay > Snow's Creek,Cape Cod,Lewis Bay,Snow's Creek,41.642705,-70.279514,2003,2004,2003-2004,50,5298,6339,19.64892412,1.14,,1.899,0.600315956,53,,
72,Cape Cod > Sandwich > Springhill Creek,Cape Cod,Sandwich,Springhill Creek,41.748438,-70.472085,2006,2007,2006-2007,0,4356,3938,-9.595959596,0.108,0.039,0.461,0.234273319,37,,
73,Cape Cod > Lewis Bay > Stewart's Creek,Cape Cod,Lewis Bay,Stewart's Creek,41.635463,-70.293032,2003,2004,2003-2004,50,13966,9712,-30.45968781,1.166,,2.072,0.562741313,29,,
74,Cape Cod > Chatham > Stillwater Pond,Cape Cod,Chatham,Stillwater Pond,41.702013,-69.970673,2001,2002,2001-2002,,1079,1185,9.823911029,0.127,,0.732,0.173497268,52,,
75,Cape Cod > Pleasant Bay > Stillwater Pond,Cape Cod,Pleasant Bay,Stillwater Pond,41.70088,-69.984928,2000,2002,2000-2002,50,1079,1185,9.823911029,0.127,high,0.732,0.173497268,52,,
76,Cape Cod > Little Pond > Stream,Cape Cod,Little Pond,Stream,41.560109,-70.592263,2002,2003,2002-2003,50,2006,2251,12.21335992,1.894,,2.988,0.633868809,41,,
77,Cape Cod > Namskaket > Stream (Little),Cape Cod,Namskaket,Stream (Little),41.790525,-70.010195,2002,2003,2002-2003,50,203,282,38.91625616,0.54,,1.013,0.533070089,49,,
78,Cape Cod > Herring River > Stream 1,Cape Cod,Herring River,Stream 1,41.68197,-70.122065,2005,2006,2005-2006,50,42111,40919,-2.830614329,0.12,,0.651,0.184331797,56,,
79,Cape Cod > Herring River > Stream 2,Cape Cod,Herring River,Stream 2,41.680925,-70.098908,2004,2005,2004-2005,50,20533,17792,-13.34924268,0.148,,0.606,0.244224422,54,,
80,Cape Cod > Pleasant Bay > Tar Kiln,Cape Cod,Pleasant Bay,Tar Kiln,"41.733580,",-69.991744,2004,2005,2004-2005,50,2763,2525,-8.613825552,0.352,high,0.687,0.512372635,51,,
81,Cape Cod > Plymouth Duxbury > Town Brook,Cape Cod,Plymouth Duxbury,Town Brook,41.954881,-70.66321,2003,2004,2003-2004,50,52939,47136,-10.96167287,0.729,0.028,1.354,0.538404727,36,,
82,Cape Cod > Allen > Un-name Creek at Kilde Rd,Cape Cod,Allen,Un-name Creek at Kilde Rd,41.668484,-70.086065,2004,2005,2004-2005,50,1905,1148,-39.73753281,0.505,,0.938,0.538379531,32,john joseph pond attenuation of 74%,
83,Cape Cod > Swan Pond > Un-Named Creek,Cape Cod,Swan Pond,Un-Named Creek,41.685337,-70.130337,2005,2006,2005-2006,50,453,382,-15.67328918,0.218,0.109,0.635,0.343307087,13,,
84,Cape Cod > Bass River > Weir Creek,Cape Cod,Bass River,Weir Creek,41.705451,-70.193727,2003,2004,2003-2004,50,16098,15178,-5.714995652,0.106,,1.041,0.101825168,,no attenuation rate reported,
85,Cape Cod > Barnstable > Whites Brook Discharge,Cape Cod,Barnstable,Whites Brook Discharge,41.705088,-70.223879,2006,2007,2006-2007,50,1462,1379,-5.677154583,0.542,,0.9595,0.56487754,37,,
86,Cape Cod > Wilde Harbor > Wild Harbor River,Cape Cod,Wilde Harbor,Wild Harbor River,41.634312,-70.63265,2006,2007,2006-2007,50,1979,1984,0.252652855,0.32,0.02,0.761,0.420499343,45,,
87,Cape Cod > Quisset (no monitoring) > ,Cape Cod,Quisset (no monitoring),,,,,,,,,,,,,,,,no streams or ponds; N reaching water table was tranported with attenuation,
88,Cape Cod > Rock Harbor (same as Namskaket) > ,Cape Cod,Rock Harbor (same as Namskaket),,,,,,,,,,,,,,,,,
89,Cape Cod > Rush Marsh (no monitoring) > ,Cape Cod,Rush Marsh (no monitoring),,,,,,,,,,,,,,,,no streams or ponds; N reaching water table was tranported with attenuation,
90,Cape Cod > Salt Harbor (no monitoring) > ,Cape Cod,Salt Harbor (no monitoring),,,,,,,50,,,,,,,,,no streams; N reaching water table was tranported with attenuation,
91,Islands > Menemsha > Black Brook,Islands,Menemsha,Black Brook,41.326807,-70.797453,2006,2007,2006-2007,50,1363,1416,3.888481291,0.013,,0.638,0.020376176,0,,
92,Islands > Tashmoo > Fish Ladder,Islands,Tashmoo,Fish Ladder,41.448448,-70.62234,2003,2004,2003-2004,50,873,1039,19.01489118,0.122,,0.791,0.154235145,10,,
93,Islands > Lagoon > Fish Ladder ,Islands,Lagoon,Fish Ladder ,41.429469,-70.599982,2003,2004,2003-2004,50,6464,6516,0.804455446,0.157,,0.765,0.205228758,18,,
94,Islands > Chillmark > Fulling Mill Brook East,Islands,Chillmark,Fulling Mill Brook East,41.346272,-70.719522,2004,2005,2004-2005,50,470,492,4.680851064,0.082,,0.677,0.1211226,0,,
95,Islands > Chillmark > Fulling Mill Brook West,Islands,Chillmark,Fulling Mill Brook West,41.346272,-70.719522,2004,2005,2004-2005,50,4816,4889,1.515780731,0.085,,0.448,0.189732143,21,,
96,Islands > Madaket Harbor > Long Pond,Islands,Madaket Harbor,Long Pond,41.281453,-70.176202,,,,*,,,,,,,,,,
97,Islands > Madaket Harbor > Long Pond Hither Creek ,Islands,Madaket Harbor,Long Pond Hither Creek ,41.279708,-70.187384,,,,*,,,,,,,,,,
98,Islands > Chillmark > Mill Brook,Islands,Chillmark,Mill Brook,41.339199,-70.735089,2004,2005,2004-2005,50,5233,4983,-4.777374355,0.093,,0.572,0.162587413,41,,
99,Islands > Tisbury  > Mill Brook,Islands,Tisbury ,Mill Brook,41.382724,-70.67199,2004,2005,2004-2005,50,17363,21213,22.17358751,0.048,,0.491,0.097759674,6,,
100,Islands > Madaket Harbor > N. Head Long Pond,Islands,Madaket Harbor,N. Head Long Pond,41.283953,-70.170307,,,,*,,,,,,,,,,
101,Islands > Menemsha > Pease Point Brook,Islands,Menemsha,Pease Point Brook,41.345669,-70.760293,2006,2007,2006-2007,50,1308,1382,5.657492355,0.078,,0.685,0.113868613,0,,
102,Islands > Tisbury  > Tiasquam River,Islands,Tisbury ,Tiasquam River,41.377733,-70.677676,2004,2005,2004-2005,50,12191,14416,18.2511689,0.047,,0.45,0.104444444,6,,
103,Islands > Menemsha > Un-named Brook,Islands,Menemsha,Un-named Brook,41.352459,-70.762214,2006,2007,2006-2007,50,534,555,3.93258427,0.277,,0.775,0.357419355,64,,
104,Islands > Edgartown Great Pond System > ,Islands,Edgartown Great Pond System,,,,,,,,,,,,,,,,no stream gage,
105,Islands > Farm Pond System > ,Islands,Farm Pond System,,,,,,,,,,,,,,,,no stream gage,
106,Islands > Nantucket Harbor > ,Islands,Nantucket Harbor,,,,,,,,,,,,,,,,no streams or ponds,
107,Islands > Oak Bluffs Harbor > ,Islands,Oak Bluffs Harbor,,,,,,,,,,,,,,,,no streams or ponds,
108,Islands > SengeKontacket Pond System (no monitoring) > ,Islands,SengeKontacket Pond System (no monitoring),,,,,,,,,,,,,,,,no stream gage,
109,Islands > Sesachacha (no monitoring) > ,Islands,Sesachacha (no monitoring),,,,,,,,,,,,,,,,no stream gage,
