ID,Warehouse_vintage,Datayear,QCStatus,QCDate,Projname,Watershed,SARIS_PALIS_CAMIS,Waterbody,UNIQUE_ID,DESCRIPTOR,MLTYP_NAME,Latitude,Longitude,FSLOG,SURV_TYPE,OWMID,QAQC,QAQCType,StartDate,StartTime,FLOWSTAT,DWM_Name,DWM_Units,ResVal,nResult,DWMQual,DWM_Method,ResComm
419558,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Concord (2005),Concord (SuAsCo),8246775,Assabet River,W0695,"[School Street, Northborough]",River/Stream,42.30485304,-71.62845076,05-J001-01,River,SM-1126,SM-1127,Duplicate,1/19/2005,8:40:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,1.5,1.5,h,EPA 353.1,
419559,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Concord (2005),Concord (SuAsCo),8246775,Assabet River,W0695,"[School Street, Northborough]",River/Stream,42.30485304,-71.62845076,05-J001-01,River,SM-1126,SM-1127,Duplicate,1/19/2005,8:40:00 AM,Flowing,Total Nitrogen,mg/L,##,,"b, h",USGS I-4650-03,
419562,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Concord (2005),Concord (SuAsCo),8247650,Sudbury River,W0696,"[Danforth Street bridge, Framingham]",River/Stream,42.32543468,-71.39736431,05-J001-02,River,SM-1128,,Routine Sample,1/19/2005,9:40:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.44,0.44,h,EPA 353.1,
419563,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Concord (2005),Concord (SuAsCo),8247650,Sudbury River,W0696,"[Danforth Street bridge, Framingham]",River/Stream,42.32543468,-71.39736431,05-J001-02,River,SM-1128,,Routine Sample,1/19/2005,9:40:00 AM,Flowing,Total Nitrogen,mg/L,##,,"b, h",USGS I-4650-03,
419566,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Concord (2005),Concord (SuAsCo),8246775,Assabet River,W0697,"[at USGS flow gaging station #01097000 near the Route 27/62 bridge, Maynard]",River/Stream,42.43206352,-71.44974106,05-J001-03,River,SM-1129,,Routine Sample,1/19/2005,10:25:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.81,0.81,h,EPA 353.1,
419567,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Concord (2005),Concord (SuAsCo),8246775,Assabet River,W0697,"[at USGS flow gaging station #01097000 near the Route 27/62 bridge, Maynard]",River/Stream,42.43206352,-71.44974106,05-J001-03,River,SM-1129,,Routine Sample,1/19/2005,10:25:00 AM,Flowing,Total Nitrogen,mg/L,##,,"b, h",USGS I-4650-03,
419570,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Concord (2005),Concord (SuAsCo),8246875,Nashoba Brook,W0698,"[near footbridge and USGS flow gaging station #01097300 in Nashoba Brook Conservation Area southeast of Wheeler Lane, Acton]",River/Stream,42.51227518,-71.40458554,05-J001-04,River,SM-1130,,Routine Sample,1/19/2005,11:05:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.85,0.85,h,EPA 353.1,
419571,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Concord (2005),Concord (SuAsCo),8246875,Nashoba Brook,W0698,"[near footbridge and USGS flow gaging station #01097300 in Nashoba Brook Conservation Area southeast of Wheeler Lane, Acton]",River/Stream,42.51227518,-71.40458554,05-J001-04,River,SM-1130,,Routine Sample,1/19/2005,11:05:00 AM,Flowing,Total Nitrogen,mg/L,##,,"b, h",USGS I-4650-03,
419578,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Blackstone (2005),Blackstone,5131000,Blackstone River,W0680,"[Blackstone River Road bridge, Worcester (prior to October 2002 at old Millbury Street location approximately 350 feet downstream/south of current bridge, (see April 2001 orthophoto)]",River/Stream,42.22778189,-71.78735524,05-K001-01,River,SM-1133,SM-1134,Duplicate,2/1/2005,9:05:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.83,0.83,"d, h",EPA 353.1,
419579,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Blackstone (2005),Blackstone,5131000,Blackstone River,W0680,"[Blackstone River Road bridge, Worcester (prior to October 2002 at old Millbury Street location approximately 350 feet downstream/south of current bridge, (see April 2001 orthophoto)]",River/Stream,42.22778189,-71.78735524,05-K001-01,River,SM-1133,SM-1134,Duplicate,2/1/2005,9:05:00 AM,Flowing,Total Nitrogen,mg/L,1.4,1.4,"d, h",USGS I-4650-03,
419582,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Blackstone (2005),Blackstone,5132425,Quinsigamond River,W0689,"[abandoned Bridge Street bridge west of Route 140, Grafton]",River/Stream,42.23053792,-71.70809238,05-K001-02,River,SM-1135,,Routine Sample,2/1/2005,9:55:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.47,0.47,h,EPA 353.1,
419583,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Blackstone (2005),Blackstone,5132425,Quinsigamond River,W0689,"[abandoned Bridge Street bridge west of Route 140, Grafton]",River/Stream,42.23053792,-71.70809238,05-K001-02,River,SM-1135,,Routine Sample,2/1/2005,9:55:00 AM,Flowing,Total Nitrogen,mg/L,0.79,0.79,h,USGS I-4650-03,
419586,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Blackstone (2005),Blackstone,5131000,Blackstone River,W0767,"[at USGS gage #01110500 near Sutton Street bridge, Northbridge]",River/Stream,42.153873,-71.65203977,05-K001-03,River,SM-1137,,Routine Sample,2/1/2005,10:50:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.84,0.84,h,EPA 353.1,
419587,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Blackstone (2005),Blackstone,5131000,Blackstone River,W0767,"[at USGS gage #01110500 near Sutton Street bridge, Northbridge]",River/Stream,42.153873,-71.65203977,05-K001-03,River,SM-1137,,Routine Sample,2/1/2005,10:50:00 AM,Flowing,Total Nitrogen,mg/L,3.7,3.7,"d, h",USGS I-4650-03,
419593,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Nashua  (2005),Nashua,8144650,North Nashua River,W0481,"[approximately 200 feet downstream of Route 190 bridge, Lancaster]",River/Stream,42.4951686,-71.72192464,05-O001-01,River,SM-1140,SM-1141,Duplicate,2/9/2005,9:00:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.9,0.9,h,EPA 353.1,
419595,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Nashua  (2005),Nashua,8144650,North Nashua River,W0481,"[approximately 200 feet downstream of Route 190 bridge, Lancaster]",River/Stream,42.4951686,-71.72192464,05-O001-01,River,SM-1140,SM-1141,Duplicate,2/9/2005,9:00:00 AM,Flowing,Total Nitrogen,mg/L,1.9,1.9,h,USGS I-4650-03,
419611,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Nashua  (2005),Nashua,8143500,Nashua River,W0485,"[approximately 1/2 mile downstream/east from covered bridge at Groton Street near abandoned railroad trestle supports, Pepperell]",River/Stream,42.66968673,-71.56776529,05-O001-04,River,SM-1144,,Routine Sample,2/9/2005,11:25:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.87,0.87,h,EPA 353.1,
419613,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Nashua  (2005),Nashua,8143500,Nashua River,W0485,"[approximately 1/2 mile downstream/east from covered bridge at Groton Street near abandoned railroad trestle supports, Pepperell]",River/Stream,42.66968673,-71.56776529,05-O001-04,River,SM-1144,,Routine Sample,2/9/2005,11:25:00 AM,Flowing,Total Nitrogen,mg/L,1.5,1.5,h,USGS I-4650-03,
419620,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Nashua  (2005),Nashua,8143500,Nashua River,W0496,"[Route 111/119, Pepperell/Groton]",River/Stream,42.62647657,-71.59314962,05-O001-05,River,SM-1145,,Field Audit Sample,2/9/2005,**,Ice Covered,Nitrate/Nitrite-N,mg/L,0.14,0.14,h,EPA 353.1,
419622,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Nashua  (2005),Nashua,8143500,Nashua River,W0496,"[Route 111/119, Pepperell/Groton]",River/Stream,42.62647657,-71.59314962,05-O001-05,River,SM-1145,,Field Audit Sample,2/9/2005,**,Ice Covered,Total Nitrogen,mg/L,0.29,0.29,h,USGS I-4650-03,
419602,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Nashua  (2005),Nashua,8143500,Nashua River,W0681,"[""abandoned bridge"" (Atherton Bridge) near current Bolton Road bridge, Lancaster.]",River/Stream,42.44473811,-71.67198789,05-O001-02,River,SM-1142,,Routine Sample,2/9/2005,9:50:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,2,2,h,EPA 353.1,
419604,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Nashua  (2005),Nashua,8143500,Nashua River,W0681,"[""abandoned bridge"" (Atherton Bridge) near current Bolton Road bridge, Lancaster.]",River/Stream,42.44473811,-71.67198789,05-O001-02,River,SM-1142,,Routine Sample,2/9/2005,9:50:00 AM,Flowing,Total Nitrogen,mg/L,2.4,2.4,h,USGS I-4650-03,
419629,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Chicopee (2005),Chicopee,3626275,Sevenmile River,W0490,"[Cooney Road at USGS flow gaging station #01175670, Spencer]",River/Stream,42.26477944,-72.00491606,05-L005-01,River,SM-1147,,Routine Sample,2/16/2005,8:45:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.22,0.22,,EPA 353.1,
419631,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Chicopee (2005),Chicopee,3626275,Sevenmile River,W0490,"[Cooney Road at USGS flow gaging station #01175670, Spencer]",River/Stream,42.26477944,-72.00491606,05-L005-01,River,SM-1147,,Routine Sample,2/16/2005,8:45:00 AM,Flowing,Total Nitrogen,mg/L,0.39,0.39,,USGS I-4650-03,
419665,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Chicopee (2005),Chicopee,3625450,Quaboag River,W0491,"[east of Route 67, (near USGS flow gaging station #01176000), Palmer/Brimfield]",River/Stream,42.18142994,-72.26354268,05-L005-05,River,SM-1152,,Routine Sample,2/16/2005,11:35:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.36,0.36,,EPA 353.1,
419667,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Chicopee (2005),Chicopee,3625450,Quaboag River,W0491,"[east of Route 67, (near USGS flow gaging station #01176000), Palmer/Brimfield]",River/Stream,42.18142994,-72.26354268,05-L005-05,River,SM-1152,,Routine Sample,2/16/2005,11:35:00 AM,Flowing,Total Nitrogen,mg/L,0.59,0.59,,USGS I-4650-03,
419656,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Chicopee (2005),Chicopee,3626500,Ware River,W0492,"[Route 32 at Gibbs Crossing, Ware]",River/Stream,42.23872578,-72.285755,05-L005-04,River,SM-1150,SM-1151,Duplicate,2/16/2005,11:00:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.31,0.31,,EPA 353.1,
419658,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Chicopee (2005),Chicopee,3626500,Ware River,W0492,"[Route 32 at Gibbs Crossing, Ware]",River/Stream,42.23872578,-72.285755,05-L005-04,River,SM-1150,SM-1151,Duplicate,2/16/2005,11:00:00 AM,Flowing,Total Nitrogen,mg/L,0.58,0.58,,USGS I-4650-03,
419647,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Chicopee (2005),Chicopee,3626525,Swift River,W0493,"[at USGS flow gaging station #01175500 west of River Road, Ware/Belchertown]",River/Stream,42.26797538,-72.33276108,05-L005-03,River,SM-1149,,Routine Sample,2/16/2005,10:29:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.07,0.07,,EPA 353.1,
419649,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Chicopee (2005),Chicopee,3626525,Swift River,W0493,"[at USGS flow gaging station #01175500 west of River Road, Ware/Belchertown]",River/Stream,42.26797538,-72.33276108,05-L005-03,River,SM-1149,,Routine Sample,2/16/2005,10:29:00 AM,Flowing,Total Nitrogen,mg/L,0.21,0.21,,USGS I-4650-03,
419638,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Chicopee (2005),Chicopee,3626500,Ware River,W0494,"[south of Route 122 at weir downstream of Shaft #8 water supply intake, Barre]",River/Stream,42.39121389,-72.0645552,05-L005-02,River,SM-1148,,Routine Sample,2/16/2005,9:30:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.1,0.1,,EPA 353.1,
419640,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Chicopee (2005),Chicopee,3626500,Ware River,W0494,"[south of Route 122 at weir downstream of Shaft #8 water supply intake, Barre]",River/Stream,42.39121389,-72.0645552,05-L005-02,River,SM-1148,,Routine Sample,2/16/2005,9:30:00 AM,Flowing,Total Nitrogen,mg/L,0.29,0.29,,USGS I-4650-03,
419692,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: French & Quinebaug (2005),Quinebaug,4128875,Quinebaug River,W0600,"[Route 197 bridge, Thompson, Connecticut]",River/Stream,42.02202663,-71.9543561,05-M001-03,River,SM-1157,,Routine Sample,3/2/2005,10:05:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.35,0.35,,EPA 353.1,
419694,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: French & Quinebaug (2005),Quinebaug,4128875,Quinebaug River,W0600,"[Route 197 bridge, Thompson, Connecticut]",River/Stream,42.02202663,-71.9543561,05-M001-03,River,SM-1157,,Routine Sample,3/2/2005,10:05:00 AM,Flowing,Total Nitrogen,mg/L,0.54,0.54,,USGS I-4650-03,
419674,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: French & Quinebaug (2005),Quinebaug,4128875,Quinebaug River,W0601,"[Holland Road bridge, Sturbridge]",River/Stream,42.10956147,-72.11856925,05-M001-01,River,SM-1155,,Routine Sample,3/2/2005,8:49:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.22,0.22,,EPA 353.1,
419676,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: French & Quinebaug (2005),Quinebaug,4128875,Quinebaug River,W0601,"[Holland Road bridge, Sturbridge]",River/Stream,42.10956147,-72.11856925,05-M001-01,River,SM-1155,,Routine Sample,3/2/2005,8:49:00 AM,Flowing,Total Nitrogen,mg/L,0.36,0.36,,USGS I-4650-03,
419701,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: French & Quinebaug (2005),French,4230075,French River,W0602,"[Oxford Avenue/Pleasant Street, Dudley/Webster  (near USGS flow gaging station #01125000)]",River/Stream,42.05094532,-71.88507359,05-M001-04,River,SM-1158,SM-1159,Duplicate,3/2/2005,10:45:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.47,0.47,,EPA 353.1,
419703,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: French & Quinebaug (2005),French,4230075,French River,W0602,"[Oxford Avenue/Pleasant Street, Dudley/Webster  (near USGS flow gaging station #01125000)]",River/Stream,42.05094532,-71.88507359,05-M001-04,River,SM-1158,SM-1159,Duplicate,3/2/2005,10:45:00 AM,Flowing,Total Nitrogen,mg/L,0.69,0.69,,USGS I-4650-03,
419683,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: French & Quinebaug (2005),Quinebaug,4129125,Cady Brook,W0615,"[Route 169 bridge (near pipeline crossing), Charlton]",River/Stream,42.11947322,-72.00870444,05-M001-02,River,SM-1156,,Routine Sample,3/2/2005,9:25:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.74,0.74,,EPA 353.1,
419685,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: French & Quinebaug (2005),Quinebaug,4129125,Cady Brook,W0615,"[Route 169 bridge (near pipeline crossing), Charlton]",River/Stream,42.11947322,-72.00870444,05-M001-02,River,SM-1156,,Routine Sample,3/2/2005,9:25:00 AM,Flowing,Total Nitrogen,mg/L,0.92,0.92,,USGS I-4650-03,
419710,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3522150,Millers River,W0690,"[at USGS flow gaging station #01166500 near Bridge Street/Farley Road, Erving/Wendell]",River/Stream,42.59751119,-72.43783955,05-N002-01,River,SM-1161,,Routine Sample,3/8/2005,9:45:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.35,0.35,,EPA 353.1,
419712,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3522150,Millers River,W0690,"[at USGS flow gaging station #01166500 near Bridge Street/Farley Road, Erving/Wendell]",River/Stream,42.59751119,-72.43783955,05-N002-01,River,SM-1161,,Routine Sample,3/8/2005,9:45:00 AM,Flowing,Total Nitrogen,mg/L,0.71,0.71,,USGS I-4650-03,
419719,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3523800,Otter River,W0691,"[Turner Street, Templeton (near USGS flow gaging station #01163200)]",River/Stream,42.58812535,-72.04099473,05-N002-02,River,SM-1162,SM-1163,Duplicate,3/8/2005,10:55:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,1.1,1.1,,EPA 353.1,
419721,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3523800,Otter River,W0691,"[Turner Street, Templeton (near USGS flow gaging station #01163200)]",River/Stream,42.58812535,-72.04099473,05-N002-02,River,SM-1162,SM-1163,Duplicate,3/8/2005,10:55:00 AM,Flowing,Total Nitrogen,mg/L,2,2,,USGS I-4650-03,
419728,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3522150,Millers River,W0692,"[south of Blossom Street, approximately 450 feet west of King Street at USGS flow gaging station #01164000, Royalston]",River/Stream,42.62969793,-72.15035652,05-N002-03,River,SM-1164,,Routine Sample,3/8/2005,11:35:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.39,0.39,,EPA 353.1,
419730,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3522150,Millers River,W0692,"[south of Blossom Street, approximately 450 feet west of King Street at USGS flow gaging station #01164000, Royalston]",River/Stream,42.62969793,-72.15035652,05-N002-03,River,SM-1164,,Routine Sample,3/8/2005,11:35:00 AM,Flowing,Total Nitrogen,mg/L,0.87,0.87,,USGS I-4650-03,
419737,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3524150,Priest Brook,W0693,"[Winchendon Road, Royalston (at USGS flow gaging station #01162500)]",River/Stream,42.68279648,-72.11503734,05-N002-04,River,SM-1165,,Routine Sample,3/8/2005,12:05:00 PM,Flowing,Nitrate/Nitrite-N,mg/L,0.06,0.06,,EPA 353.1,
419739,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3524150,Priest Brook,W0693,"[Winchendon Road, Royalston (at USGS flow gaging station #01162500)]",River/Stream,42.68279648,-72.11503734,05-N002-04,River,SM-1165,,Routine Sample,3/8/2005,12:05:00 PM,Flowing,Total Nitrogen,mg/L,0.33,0.33,,USGS I-4650-03,
419746,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3522150,Millers River,W0694,"[old bridge abutments on eastern shore of closed dirt road (Sibley Road on 1998 Winchendon USGS quadrangle), Winchendon]",River/Stream,42.6723218,-72.09305542,05-N002-05,River,SM-1166,,Routine Sample,3/8/2005,12:45:00 PM,Flowing,Nitrate/Nitrite-N,mg/L,0.17,0.17,,EPA 353.1,
419748,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3522150,Millers River,W0694,"[old bridge abutments on eastern shore of closed dirt road (Sibley Road on 1998 Winchendon USGS quadrangle), Winchendon]",River/Stream,42.6723218,-72.09305542,05-N002-05,River,SM-1166,,Routine Sample,3/8/2005,12:45:00 PM,Flowing,Total Nitrogen,mg/L,0.73,0.73,,USGS I-4650-03,
