idn,Region_MEP,Lon,Lat,NOx,TN,NOx2TN,L_NOx_meas,L_TN_meas,Atten
44,Cape Cod > Wellfleet > Hatches Creek,41.88,-69.99,1.92,1.92,1,271.38075,521.05104,0
45,Cape Cod > Wellfleet > Herring River,41.94,-70.06,0.076,1.002,0.075848303,784.6488552,10365.6657,0
46,Cape Cod > Lewis Bay > Hosptial Bog,41.65,-70.27,0.643,1.167,0.550985433,265.244112,561.7932165,43
47,Cape Cod > Namskaket > Hurley Bog,41.78,-70.01,0.352,0.837,0.420549582,622.103226,1238.142713,24
48,Cape Cod > Plymouth Duxbury > Jones River,41.99,-70.72,0.517,1.041,0.496637848,18538.95214,38859.40078,22
49,Cape Cod > Pleasant Bay > Kescayo Gansett,41.77,-69.98,0.19,0.796,0.238693467,85.52631583,285.214959,24
50,Cape Cod > Centerville > Lake Elizabeth Stream,41.64,-70.34,0.937,1.479,0.633536173,357.9743879,835.6967483,60
51,Cape Cod > Three Bays > Little River,41.63,-70.43,0.481,0.856,0.561915888,714.8501471,1088.973882,51
52,Cape Cod > Scorton > Long Creek,41.75,-70.44,0.115,0.68,0.169117647,413.1810054,1661.34693,51
53,Cape Cod > Centerville > Long Pond Stream,41.66,-70.33,0.199,0.53,0.375471698,893.8852837,1261.770735,67
54,Cape Cod > Barnstable > Maraspin Creek,41.7,-70.29,1.659,2.114,0.784768212,396.7050398,1068.639684,21
55,Cape Cod > Three Bays > Marstons Mill River,41.66,-70.42,0.799,1.137,0.702726473,4130.090555,6682.419322,60
56,Cape Cod > Nauset > Mary Chase Marsh Creek,41.82,-69.97,0.15,0.306,0.490196078,334.9915438,209.1151215,34
57,Cape Cod > Popponesset > Mashpee River,41.62,-70.48,0.318,0.593,0.536256324,5136.236661,5679.724795,71
58,Cape Cod > Lewis Bay > Mill Pond,41.66,-70.26,0.606,1.01,0.6,3430.79325,5775.168638,8
59,Cape Cod > Falmouth > Morse Pond,41.56,-70.6,0.047,0.777,0.06048906,17.36559252,223.0662105,76
60,Cape Cod > Oyster Pond > Mosquito/Quivett Creek,41.55,-70.64,0.192,1.182,0.162436548,5.755005068,41.8773735,57
61,Cape Cod > Pleasant Bay > Paw Wah Pond,41.76,-69.97,0.191,1.618,0.118046972,16.72926273,229.298106,12
62,Cape Cod > Parkers River > Plashes Brook,41.66,-70.22,0.412,0.966,0.426501035,484.0069159,1096.247471,43
63,Cape Cod > JEHU/Waquoit Bay > Quashnet River,41.59,-70.51,0.204,0.497,0.410462777,6226.09119,7538.728223,39
64,Cape Cod > Chatham > Ryder Cove,41.71,-69.98,0.263,0.851,0.309048179,96.28650981,265.1360708,14
65,Cape Cod > Pleasant Bay > Ryder Cove,41.71,-69.98,0.263,0.851,0.309048179,96.28650981,265.1360708,7
66,Cape Cod > Popponesset > Santuit River,41.63,-70.45,0.702,1.184,0.592905405,2850.778716,5692.850784,51
67,Cape Cod > Scorton > Scorton Creek,41.73,-70.4,0.16,0.627,0.255183413,409.3596171,1005.819606,47
68,Cape Cod > Sandwich > Shawme Lake,41.76,-70.5,0.025,0.336,0.074404762,583.6934159,2635.866072,17
69,Cape Cod > Centerville > Skunknett River,41.65,-70.37,1.113,1.495,0.744481605,3786.512544,7603.728844,29
70,Cape Cod > Lewis Bay > Snow's Creek,41.64,-70.28,1.14,1.899,0.600315956,1161.668105,3674.744456,53
71,Cape Cod > Sandwich > Springhill Creek,41.75,-70.47,0.108,0.461,0.234273319,372.7356445,733.464369,37
72,Cape Cod > Lewis Bay > Stewart's Creek,41.64,-70.29,1.166,2.072,0.562741313,2870.589301,10569.44087,29
73,Cape Cod > Chatham > Stillwater Pond,41.7,-69.97,0.127,0.732,0.173497268,68.37609743,288.484677,52
74,Cape Cod > Pleasant Bay > Stillwater Pond,41.7,-69.98,0.127,0.732,0.173497268,68.37609743,288.484677,52
75,Cape Cod > Little Pond > Stream,41.56,-70.59,1.894,2.988,0.633868809,464.4302885,2189.282202,41
76,Cape Cod > Namskaket > Stream (Little),41.79,-70.01,0.54,1.013,0.533070089,39.52488155,75.10964475,49
77,Cape Cod > Herring River > Stream 1,41.68,-70.12,0.12,0.651,0.184331797,2835.21525,10013.05883,56
78,Cape Cod > Herring River > Stream 2,41.68,-70.1,0.148,0.606,0.244224422,1831.604586,4544.80502,54
79,Cape Cod > Pleasant Bay > Tar Kiln,41.73,-69.99,0.352,0.687,0.512372635,517.0791619,693.3106103,51
80,Cape Cod > Plymouth Duxbury > Town Brook,41.95,-70.66,0.729,1.354,0.538404727,10410.57751,26180.90304,36
81,Cape Cod > Allen > Un-name Creek at Kilde Rd,41.67,-70.09,0.505,0.938,0.538379531,374.6051506,652.6615725,32
82,Cape Cod > Swan Pond > Un-Named Creek,41.69,-70.13,0.218,0.635,0.343307087,56.80298983,105.0659888,13
83,Cape Cod > Bass River > Weir Creek,41.71,-70.19,0.106,1.041,0.101825168,598.7110628,6120.866075,
84,Cape Cod > Barnstable > Whites Brook Discharge,41.71,-70.22,0.542,0.9595,0.56487754,301.6420644,512.3686823,37
85,Cape Cod > Wild Harbor > Wild Harbor River,41.63,-70.63,0.32,0.761,0.420499343,303.949435,550.0734398,45
86,Islands > Menemsha > Black Brook,41.33,-70.8,0.013,0.638,0.020376176,10.14398886,317.6192085,0
87,Islands > Tashmoo > Fish Ladder,41.45,-70.62,0.122,0.791,0.154235145,49.1799196,252.2208308,10
88,Islands > Lagoon > Fish Ladder,41.43,-70.6,0.157,0.765,0.205228758,484.5401721,1806.14664,18
89,Islands > Chillmark > Fulling Mill Brook East,41.35,-70.72,0.082,0.677,0.1211226,20.79281394,116.2188975,0
90,Islands > Chillmark > Fulling Mill Brook West,41.35,-70.72,0.085,0.448,0.189732143,333.7471878,788.051712,21
93,Islands > Chillmark > Mill Brook,41.34,-70.74,0.093,0.572,0.162587413,310.7619802,1093.294059,41
94,Islands > Tisbury > Mill Brook,41.38,-70.67,0.048,0.491,0.097759674,619.9757955,3113.841353,6
96,Islands > Menemsha > Pease Point Brook,41.35,-70.76,0.078,0.685,0.113868613,54.40038825,327.256695,0
97,Islands > Tisbury > Tiasquam River,41.38,-70.68,0.047,0.45,0.104444444,465.0663297,2003.743238,6
98,Islands > Menemsha > Un-named Brook,41.35,-70.76,0.277,0.775,0.357419355,69.71232197,151.1587125,64
99,Cape Cod > WestFalmouth > Mashapaquit Creek,41.61,-70.63,0.391,0.654,0.597859327,367.0768084,401.5463535,48
