SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"01107190","TAUNTON R., AUBURN ST. BRIDGE, NR. BRIDGEWATER, MA","ST","USGS",-70.9122634,41.96315716,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01107190"
"01105917","MATTAPOISETT RIVER NEAR MATTAPOISETT, MA","ST","USGS",-70.8383696,41.66260446,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105917"
"01105730","INDIAN HEAD RIVER AT HANOVER, MA","ST","USGS",-70.8225415,42.1006571,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105730"
"01105870","JONES RIVER AT KINGSTON, MA","ST","USGS",-70.7336491,41.9909362,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105870"
"01105876","EEL RIVER AT RT 3A NEAR PLYMOUTH, MA","ST","USGS",-70.6225338,41.94177039,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105876"
"413736070320707","ASHUMET POND, FALMOUTH FS-ASHPD-0008 GWOUT-R-F-LW","LK","USGS",-70.5347702,41.62684186,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=413736070320707"
"011058837198","CHILDS RIVER, E. OF WAQUOIT FARMS DR,NR WAQUOIT","ST","USGS",-70.5252833,41.58831667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=011058837198"
"413709070311301","JOHNS POND, MASHPEE MI-JOHPD-0007 (JP-SB)","LK","USGS",-70.5196616,41.61932275,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=413709070311301"
"413807070305201","JOHNS POND, MASHPEE MI-JOHPD-0009 (JP-NB)","LK","USGS",-70.5139659,41.63544448,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=413807070305201"
"413817070304901","MOODY POND, MASHPEE MI-MOOPD-0001 (MP-SB)","LK","USGS",-70.513102,41.63805558,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=413817070304901"
"0110588363","QUASHNET RIVER AT JOHNS POND OUTLET,NR WAQUOIT VIL","ST","USGS",-70.5130836,41.63566418,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0110588363"
"01105883632","QUASHNET RIVER, 580 FT DS OF JOHNS POND","ST","USGS",-70.51203639,41.63641418,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105883632"
"01105883634","QUASHNET RIVER, 0.25 MI DS OF JOHNS POND","ST","USGS",-70.5095836,41.63684198,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105883634"
"01105883635","QUASHNET RIVER, 0.34 MI DS OF JOHNS POND","ST","USGS",-70.50812519,41.6366642,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105883635"
"011058837","QUASHNET RIVER AT WAQUOIT VILLAGE, MA","ST","USGS",-70.50780579,41.59233175,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=011058837"
"011058836354","QUASH. RV LB TRIB, 0.35 MI DS JOHNS PD, 280 FT UP","ST","USGS",-70.5071918,41.6373003,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=011058836354"
"01105883636","QUASHNET RIVER, 0.39 MI DS OF JOHNS POND","ST","USGS",-70.50697238,41.63645869,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105883636"
"0110588364","QUASHNET R. 0.6 MI DS OF JOHNS POND NR MASHPEE, MA","ST","USGS",-70.5047501,41.6331643,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0110588364"
"011058835951","MASHPEE RIVER, AT ASHERS PATH, NR MASHPEE, MA","ST","USGS",-70.4838361,41.62948889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=011058835951"
"0110588340","SANTUIT RIVER AT OLD KINGS ROAD AT SANTUIT, MA","ST","USGS",-70.4505818,41.6276095,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0110588340"
"0110588332","MARSTONS MILLS RV, DS OUT. OF BOG, MARS. MILLS, MA","ST","USGS",-70.42362778,41.66710556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0110588332"
"01105880","HERRING RIVER AT NORTH HARWICH, MA","ST","USGS",-70.1069625,41.70011074,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105880"
